Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3283410138248848,0.3568204488778055,0.3434155844155844,0.3294619422572178,0.3358311688311688,0.3731038961038961,0.3601889168765743,0.3414676616915423,0.321433734939759,0.3290238095238095,0.3649206349206349,0.3289951573849879,0.342550505050505,0.3498232323232323,0.3494675324675325,0.3198309178743962,0.3176289926289927,0.377116402116402,0.3472009569377991,0.3251012658227847,0.34208618874347546
2,0.3324423710208562,0.3534223300970873,0.3475031289111389,0.3315233881163084,0.3483830845771145,0.3446432964329644,0.3544330518697225,0.3463734939759035,0.323407494145199,0.331242774566474,0.3614987080103358,0.3386143187066974,0.3425857843137255,0.3569781553398058,0.3454419191919192,0.3255134189031505,0.3243285371702638,0.3875408805031446,0.3545967741935483,0.3218957055214724,0.34361843077834153
3,0.3120995670995671,0.3448494453248811,0.3440367346938775,0.3299506578947369,0.3472797089733225,0.3372077922077922,0.3448748043818466,0.3416427432216906,0.3164596273291926,0.3255779467680608,0.3582269197584123,0.3301740139211137,0.3346698872785829,0.3573015236567762,0.3392928039702234,0.3265343099460293,0.3184220830070478,0.3736742118027486,0.3578139183055975,0.3112711864406779,0.3375679942991089
4,0.2991071428571429,0.3365752625437572,0.3397426470588234,0.3265460122699386,0.3448741761533853,0.3344356796116504,0.3427642276422765,0.3369881305637981,0.314385150812065,0.3223374788015827,0.35644678138942,0.3275968768074031,0.3284790419161676,0.3518317422434367,0.3317665036674816,0.3217530224525043,0.3146906012842966,0.3670273483947681,0.3560622501427755,0.3118358913813459,0.333262298399701
5,0.2901172893136403,0.3296189591078067,0.3367470472440945,0.3279071463296062,0.3379881796690307,0.3320994208494208,0.3394223659889094,0.3354814108674928,0.310754060324826,0.3160617059891107,0.3592936148818502,0.3244093023255814,0.3275297760838493,0.3482522651406772,0.3269611650485437,0.3191200923787529,0.3048528058877645,0.3652553191489362,0.3554726938962826,0.3088106343283581,0.3298077627402267
6,0.2876091703056768,0.3274620179197506,0.3308230958230957,0.3294703987112363,0.3296590909090909,0.329853590052146,0.3417872097449562,0.3365134484142915,0.3100057848052449,0.3109293044469783,0.3586064891846922,0.320743112145906,0.3254196642685851,0.3482078494193031,0.3195132743362832,0.3192968142968142,0.3014881407804131,0.3619980506822612,0.3563854489164086,0.3078742746615087,0.32768231149123206
7,0.2826715763083673,0.3218935602268935,0.3236220196353436,0.3335940730530669,0.3260446758481693,0.3263340192043895,0.3449771838331161,0.3401069703243617,0.308397542344736,0.3085567178816606,0.3607449806269814,0.3152728785357738,0.3240438656614119,0.3432308223911541,0.3146831955922864,0.3195131272848123,0.2994880601897284,0.3547589963684385,0.357356879812521,0.3055446040761777,0.32554178745996953
8,0.2815547605943864,0.3173723373212722,0.3164598090545118,0.3361483831973406,0.3232640730916593,0.3255672268907563,0.3460238907849829,0.3422953305033352,0.3087320433890355,0.3047469810235768,0.3652049556439278,0.3094619883040936,0.3222976226301534,0.3396746104491292,0.3097053517739026,0.3148594436310395,0.3014948156682027,0.3491060735671514,0.358758508434448,0.3041436138905238,0.32384359099217147
9,0.2802110947471772,0.315559477124183,0.311956879978028,0.3388906838987614,0.3236874834612331,0.3290505319148936,0.3481443167305237,0.3410005408328827,0.3069231781110234,0.3029329751854693,0.3701329354313619,0.3030581516095534,0.3212433011789924,0.3377047828477185,0.3105924932975871,0.308645915418965,0.303308367768595,0.3440637550200803,0.3607097288676236,0.3060849056603773,0.3231950749542515
