Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mc_21,mc_22,mc_23,mc_24,mc_25,mc_26,mc_27,mc_28,mc_29,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3597668393782383,0.3132494004796163,0.3567602040816326,0.3455048076923077,0.3292118226600985,0.3510104986876641,0.349863523573201,0.312142857142857,0.3289036144578313,0.3375615763546798,0.4006446991404012,0.3511618798955613,0.3426682692307692,0.3003768844221104,0.3906836461126005,0.3082710280373831,0.3445918367346938,0.3426701570680627,0.3326335877862595,0.3191062801932366,0.3512663185378589,0.3621240105540897,0.3419113924050633,0.363428927680798,0.3540450928381963,0.3667955112219451,0.2780162412993039,0.3249282296650718,0.3527165354330708,0.3417936438884346
2,0.3602678571428571,0.3089880952380952,0.3603071253071253,0.3445016987542469,0.3316229116945108,0.3434303797468354,0.3359356725146199,0.3073837209302326,0.3404069767441861,0.3411324041811847,0.3865268225584594,0.350308176100629,0.3573578199052133,0.3080937880633374,0.3868015665796344,0.3208257918552036,0.3364912280701755,0.3394629156010229,0.3397648514851485,0.3301136363636364,0.360044699872286,0.3570256410256409,0.3428657074340527,0.3734423305588585,0.3562870012870013,0.3698233861144945,0.2865505617977528,0.3260697674418604,0.3632316313823163,0.3436229022672627
3,0.3501342281879195,0.3059377462568952,0.3459767814251401,0.3410982874162323,0.3178803088803089,0.3436429177268871,0.3337846153846153,0.305663068619892,0.3312968630451415,0.3402758352758353,0.3789095022624434,0.3452224052718287,0.3564152410575427,0.3082495948136143,0.3733275862068965,0.315376055257099,0.3382891466445732,0.3411720067453625,0.3421240755957273,0.3240718562874251,0.3606720202874049,0.354190800681431,0.3240472440944881,0.3733465189873418,0.3680795551753635,0.3639685737308622,0.285927684441198,0.326891472868217,0.3549918433931485,0.3396884081386495
4,0.3431382316313824,0.3067789598108747,0.3370023696682465,0.3329294907666479,0.3046463205932687,0.3432666666666666,0.3199422632794457,0.3082947307469601,0.3182764505119453,0.3349648917495611,0.3638420348058902,0.3406168629882207,0.3531828703703704,0.3043773119605426,0.3610546378653113,0.3161707035755478,0.3370443349753694,0.3364888178913737,0.3387291280148423,0.3126329043088975,0.3533913869537681,0.3472669220945083,0.3190773286467487,0.3723222748815166,0.3681225806451613,0.3602168601099572,0.2880510314875135,0.3263485113835376,0.3506151035322777,0.33444110282470196
5,0.3400520059435364,0.3038799240626483,0.3303107344632768,0.331313672922252,0.2944240362811791,0.3431272264631043,0.3105842956120092,0.3096766635426429,0.3119136363636363,0.3257419659735349,0.3458697944122298,0.3336861675756073,0.3498394495412845,0.3009771825396825,0.3536609398686205,0.3152559329920893,0.334451581027668,0.3323678809645972,0.3366865671641791,0.3086608344549125,0.3500843127235565,0.3411897435897436,0.3147317647058822,0.3709561278016213,0.3714665970772442,0.3559313725490196,0.2883720930232558,0.3260299625468164,0.3442992700729927,0.3301910943537525
6,0.3388330632090762,0.3009101748807631,0.3301074638530676,0.3296182775479503,0.2811409395973154,0.3432279569892473,0.3095429793854531,0.3111562622693364,0.3082083333333334,0.3219064748201438,0.3305555555555555,0.3265919374742904,0.3452581624905088,0.3013708333333333,0.3459336099585062,0.3123346228239845,0.3279185427752763,0.329710672953279,0.3361888980944491,0.3034004559270516,0.3517489361702128,0.3332009446114212,0.314011075949367,0.3647751906864712,0.3690821678321678,0.3525661157024794,0.2856690518783542,0.326796875,0.337940226171244,0.3265415793542634
7,0.3393684941013186,0.2999110807113543,0.3296241610738255,0.3285505836575875,0.2707350616503319,0.3420765230312035,0.3099496306245802,0.3132061715835877,0.3043784575333551,0.3163678756476683,0.3184034699150977,0.3190747206703911,0.3444543106231837,0.3042767633369136,0.3439661256175017,0.3093162821798729,0.3225775740479548,0.3269742647058824,0.3366353982300885,0.3035445544554456,0.3559457478005865,0.3269203833394766,0.3190615384615384,0.3622019464720195,0.3683912386706949,0.35125,0.2852910539215686,0.3272751677852349,0.3314191533657182,0.3245223356280683
8,0.3419756838905775,0.2974676886083559,0.3254746462264151,0.3267172295363479,0.2698259668508286,0.3447959855215531,0.3067573964497042,0.3120048019207682,0.3043327630453379,0.314813341493268,0.3113208147676639,0.314206204379562,0.3409478605837347,0.3097875354107648,0.3432282741738066,0.308971151015602,0.3203162979121221,0.3267109526895658,0.3379727216367019,0.3047715289982424,0.3561498708010336,0.3279280877136408,0.3205998791175581,0.3606331612511387,0.3683277479892761,0.3492445582586427,0.2857175490459553,0.325312686122692,0.3244942108470445,0.32347608952613466
9,0.3431820622986036,0.2987149028077753,0.3254686677198525,0.3277572964669739,0.2707534246575342,0.3472565320665083,0.3011924796213516,0.3116828348154136,0.3048240244835501,0.3139651355838406,0.3077810485001401,0.3132987886944818,0.3391550896691083,0.3128334271243669,0.3416504592112372,0.3115783898305085,0.3186577181208054,0.3264318907929132,0.3403916161059018,0.3041190351337178,0.3617496423462089,0.3293453237410073,0.3191666666666667,0.3620450841933731,0.3659416365824308,0.3481264302059496,0.2848166230054775,0.3253691813804172,0.3189447304253589,0.3233172462845336
10,0.3435979729729729,0.3023749999999999,0.3256028115320467,0.3280360884749709,0.2726053555750659,0.3494221921515562,0.299168834239773,0.3158891060087933,0.3055264367816092,0.3141520321123934,0.3094422211105552,0.3151256342111621,0.3412517131110095,0.3168895423165431,0.3366598112751028,0.313764395393474,0.3143661616161616,0.3290935517970402,0.3412409578448491,0.3047631012203877,0.3619860896445131,0.3296243826358201,0.3200357936312022,0.3651114689125588,0.3646086480569239,0.3455106272680144,0.2868610154905336,0.3227630934899658,0.3167128953771289,0.3238685149742113
11,0.3442028187623872,0.3069157517365001,0.3235215874400349,0.329715412492006,0.274792663476874,0.3483682112605879,0.29703349796006,0.3167052347787015,0.3067686645636172,0.3146856944765426,0.3119559352517986,0.3184460052677788,0.3438912046686118,0.317331374853114,0.3339945115257958,0.3147447744774477,0.3135730831596015,0.3295489910041332,0.3395788876276958,0.3064213197969543,0.3654304093567251,0.3274570610687023,0.3235775862068965,0.3678493647912886,0.3646562184024267,0.3426976026584381,0.2858848508789255,0.3207097720604829,0.3158929364726788,0.32435694574057955
