Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3463725490196079,0.3054728132387707,0.2997630331753554,0.3705526315789473,0.375921052631579,0.3589012345679012,0.3385891089108911,0.351745406824147,0.3452349869451697,0.3290786240786241,0.3323631840796019,0.3335820895522389,0.3316028708133972,0.3662531969309463,0.3386153846153846,0.3366666666666667,0.3517018469656991,0.3341911764705882,0.3439356435643564,0.371945945945946,0.3431244723287909
2,0.3524413145539906,0.299421768707483,0.2974406779661017,0.3693837357052096,0.3731609195402299,0.3568705035971223,0.3425750300120047,0.3546428571428571,0.3465849056603774,0.3194880952380953,0.3283656174334141,0.3196690734055354,0.3341197183098592,0.3701245551601423,0.349347290640394,0.328743654822335,0.345852417302799,0.3335510688836105,0.329046511627907,0.3677094240837696,0.3409269569896619
3,0.3407777777777778,0.2958968609865471,0.2941017074981439,0.3633389544688027,0.3676881720430107,0.3553169572107765,0.3417278531524341,0.3541223628691983,0.342700668896321,0.3158181096108022,0.3294743083003952,0.3170377655389457,0.3374654377880183,0.35467993754879,0.3458176614881439,0.3251502504173622,0.338566610455312,0.3275905936777178,0.321876404494382,0.361822429906542,0.33654854120647115
4,0.3379999999999999,0.2989742873113471,0.2926790671848973,0.3503191489361703,0.363380716934487,0.3540029850746269,0.3339181111775254,0.3497341772151898,0.3377538940809968,0.3133689205219454,0.3269737626714371,0.3127633136094674,0.3315958668197474,0.3430807489760093,0.3403770692826486,0.327264504054897,0.3296750788643532,0.3223114565342544,0.3133259668508287,0.3590666247642991,0.33192828504325644
5,0.3324149659863946,0.2974260089686099,0.2929157328552219,0.3409533267130089,0.3632408325074331,0.3497916666666667,0.3312571428571428,0.3483602829711975,0.3370638085742772,0.3148052256532067,0.3266754935002407,0.310719733079123,0.3266811726981218,0.3385851712810887,0.3368297455968688,0.3303544868616757,0.3226581963129048,0.3241540229885058,0.3105365746824354,0.3571719457013574,0.32962977682277417
6,0.3333646616541354,0.2984800447594181,0.2932533733133434,0.3318616144975289,0.3601062942892872,0.3476709834075274,0.3329581993569131,0.347327731092437,0.3422438310330406,0.3128767395626242,0.3286147011308561,0.3067513899920571,0.3261672407194795,0.3355732234000785,0.335977105478332,0.3295743801652893,0.3149875673435558,0.3244645608628659,0.3129045189504373,0.3536717108028583,0.32844149359060326
7,0.3311807113104774,0.3025199234937838,0.2945345104333869,0.3278985507246376,0.3570071813285457,0.3490389972144846,0.3371294363256784,0.3451876578852399,0.3462427325581395,0.3120311964346932,0.3282140350877193,0.3032620689655172,0.3251183431952663,0.333596256684492,0.3340655853314527,0.3298196605374823,0.3118072289156626,0.3242300098716683,0.316313731623397,0.3505861070911721,0.3279891962506448
8,0.3308907563025209,0.3072672630696114,0.2911226227646892,0.3228389303482586,0.3554171934260429,0.3498245073891625,0.3358274593931965,0.3417141951837769,0.3484420406845334,0.3126338880484116,0.3280425333747283,0.3034529215864366,0.328157436938243,0.332878876535986,0.3341803787643589,0.3292932261057841,0.3108599318252247,0.324792447391179,0.3142128359846407,0.3485786802030456,0.3275214062659915
9,0.3269919919919919,0.311191073219659,0.2921156289707751,0.3204792243767314,0.3511218130311614,0.350509246480817,0.3349149986290101,0.3395941375422774,0.3459628770301624,0.3097429970084308,0.3267114093959732,0.30481576808453,0.3247597283886132,0.332088772845953,0.3342326939115929,0.3306348547717841,0.3106030913607507,0.3251332649923117,0.3107815950920245,0.3428189533239038,0.3262602060224227
