Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3403712871287129,0.3498370927318295,0.3560275689223057,0.327153110047847,0.3688441558441558,0.376117166212534,0.356975,0.3274874371859296,0.3582345013477089,0.3394050632911393,0.3443120393120392,0.340273631840796,0.3558578431372548,0.3492708333333333,0.3097290640394088,0.3605696202531645,0.3732978723404255,0.3529189189189189,0.3043857493857494,0.3576683937823834,0.3474368174527818
2,0.3594009489916964,0.347124849939976,0.3592060606060606,0.3332837528604119,0.3670320197044335,0.3741029023746701,0.3547772277227723,0.3337254901960784,0.3552994791666667,0.3425836431226766,0.3299524940617577,0.3259144893111639,0.3572129186602871,0.3565541401273886,0.3224654377880183,0.3599817295980512,0.363297331639136,0.3574673629242819,0.3123053892215569,0.3571863354037266,0.3484437001710405
3,0.3507410296411856,0.3440047770700637,0.3618,0.3293308270676691,0.3634833738848337,0.3683304572907679,0.3533973834832379,0.3306761133603239,0.3479436501261564,0.3386356275303643,0.3256374807987711,0.3118021472392638,0.3510773480662983,0.3540640809443507,0.3240429540316503,0.3585737179487179,0.3545854063018243,0.3514680851063829,0.3008188976377953,0.3522884141331141,0.3436350885831386
4,0.3446227510156703,0.3415065243179122,0.3574135876042908,0.3243725268513284,0.3580973986690866,0.3655006418485237,0.341829415310428,0.3276918465227818,0.3410479409956976,0.3377913927077107,0.3182743867655448,0.3073850085178876,0.3466527942925089,0.3480764371446621,0.319854748603352,0.3548984468339307,0.3460858895705522,0.3481163084702908,0.2969235294117646,0.3473859432799014,0.33867637593669125
5,0.3401368909512762,0.3412328442972077,0.355910390848427,0.3212528216704288,0.3572394571013088,0.3625398048279404,0.336268620855358,0.325435615126855,0.3431928294573643,0.3316044954567192,0.3119019784172661,0.3040904977375565,0.3465410146989094,0.343678102926337,0.3223451327433628,0.3505273250239693,0.3410752688172043,0.348530901722391,0.2956102175969725,0.3400959173635021,0.33596050638201785
6,0.332718689788054,0.34122283682339,0.3566633426406064,0.3140113207547169,0.3556194331983805,0.3640979050876443,0.3308626198083067,0.3240554005579912,0.3452156549520767,0.3278063872255488,0.3091899441340782,0.2990371493555724,0.3413445544554456,0.3371401594628619,0.3245866861741038,0.3522179847450823,0.3405270655270655,0.3499095498527555,0.2983662974683544,0.3382326530612245,0.334141281753663
7,0.3310751080093054,0.3422055820285908,0.3573853524982888,0.3081834473769957,0.356675320179993,0.3587522902161965,0.3287732598208132,0.3184489795918367,0.3489266487213997,0.325839590443686,0.2999714104193138,0.2972766097240473,0.3388784568111984,0.3350071968333932,0.3256261740763932,0.3515190311418685,0.337276707530648,0.3465173410404624,0.3023814363143631,0.33504920913884,0.33228845759588166
8,0.3275036732295034,0.342875074716079,0.3591979010494752,0.3056724386724386,0.3590145542753184,0.3545661953727506,0.3307557436517532,0.3154201430274136,0.3533270183619936,0.3229580209895053,0.297200055417013,0.2927255584566289,0.3343710691823899,0.3344715189873418,0.3279032258064516,0.3486023320036821,0.3336143470263641,0.3460313192027838,0.3012756772849062,0.33307501549907,0.33102804411064307
9,0.3235947368421052,0.3442020282892982,0.3576713062098501,0.3037438231469441,0.3594672796106003,0.3510011474469305,0.3327395776935571,0.3159718534253851,0.3575662805662806,0.319167339252085,0.2993567035670357,0.2885541069100391,0.3302709227467811,0.3334061259217243,0.3254347826086956,0.3469624620480265,0.3317642231947484,0.3434709219858156,0.3009188034188034,0.3334433962264151,0.3299353910555561
10,0.3235044058109074,0.3460385828682358,0.3579849660523763,0.3029713945172824,0.3614789422135162,0.3473327258526426,0.3324441443653326,0.3191175059952039,0.3586212854181065,0.3151816396661758,0.3013514992339681,0.2826994301994301,0.3262310698583291,0.3321377091377091,0.3261160515784793,0.3442047462761928,0.331755819712729,0.3437316696681244,0.2994879591340306,0.3323748103186646,0.32923831789387187
11,0.3252094240837697,0.3477661001788908,0.3581219512195122,0.3029483785572468,0.3643962604190133,0.3451336515513127,0.3347307001795332,0.3193099647266313,0.3592519355513706,0.313450417890219,0.3054575163398692,0.2794006961061562,0.3238601618705036,0.329087797970262,0.326625535386498,0.3421130393996248,0.3305361990950226,0.3411834949160559,0.3017710897292459,0.3306575278810409,0.3290505921525889
12,0.3238394116461818,0.3481747350924579,0.361973227059064,0.3017656765676567,0.366392670157068,0.3415067433119611,0.3373207274230212,0.3170361247947454,0.3586749662227369,0.3125251677852348,0.3108885269634456,0.2783373688458434,0.3208456037021456,0.3259363458613947,0.3240156220591002,0.3398062527520916,0.3300387110274115,0.338842775581906,0.3036443148688046,0.3306031882809134,0.3286084080001592
13,0.3228636788048553,0.3498397747135365,0.3645134004942026,0.3015187051754216,0.3684950884086443,0.3373193207703459,0.3407788461538462,0.3149422632794457,0.359285201793722,0.3127860794337397,0.3145926849542809,0.2790225988700565,0.318212732305259,0.3227883255907898,0.3237893164645932,0.3382260743201162,0.3304058789176562,0.3376355792933442,0.3036980178779634,0.3312682038834951,0.32859908857526576
14,0.3240680188844203,0.3518266423357664,0.3679411764705882,0.302520131771596,0.3729427516158818,0.3352280257259794,0.3430996940795393,0.3151631912964642,0.3608519388954171,0.3140904038532789,0.320570944906125,0.2791440963002302,0.3167982129560686,0.3202478632478632,0.324566935616664,0.337816679779701,0.3318468960495175,0.3361917701863353,0.306673045379989,0.331896485867074,0.329674245260925
15,0.3253116797900262,0.3522437003797031,0.3706043956043956,0.3070902203856749,0.3791795450599062,0.3373855243722305,0.3460504059539919,0.3160522696011004,0.3617484954070319,0.3145734597156398,0.326113337149399,0.2816983967935871,0.3160729991204926,0.3194964028776978,0.3262126865671642,0.3378830005598059,0.3332727272727273,0.3348715831957439,0.3070236869207002,0.3322180860722716,0.3312551301399645
16,0.3288945420906567,0.3549721858638743,0.3730209473190558,0.3126061838893409,0.3842941562705187,0.3367232881534941,0.3486709265175719,0.3181734377549355,0.3624883929908641,0.3148842476094614,0.332530500067033,0.2838287573401047,0.3140898444035468,0.3195613433858807,0.3297567806603773,0.3375347841598287,0.3354970146845248,0.3334761738523302,0.3113518127133799,0.3320277777777778,0.3332191548752279
17,0.3325149395131905,0.3564894613583138,0.3772101236021188,0.3200177387012185,0.3901511845386533,0.3368756319514661,0.3512511401641836,0.3207506203473946,0.3615955024195844,0.3163913881748071,0.3400813264405496,0.2843026058141287,0.312982176957352,0.3189445173998686,0.3334514141697003,0.338224650051212,0.3396649406031069,0.3324067909454061,0.3178241808952468,0.3338101559907069,0.3357470245019104
18,0.3376976680005519,0.3591966821102974,0.3809253607103218,0.3268763732239637,0.3969169139465875,0.3384552190721649,0.3533176214648296,0.3245088957506249,0.3624503176963634,0.3193370336108542,0.3461173317450864,0.2878133028832429,0.3152907596285584,0.3182285938727415,0.3367397113842864,0.3396532074242917,0.3440396871378911,0.3331768924302788,0.3247878566203364,0.3377174603174603,0.33916234445153665
19,0.3435624261520283,0.3638150164780054,0.3842129507765201,0.3346229050279329,0.40230447125621,0.3383539412673879,0.3553594725884803,0.3293082067716315,0.3644869811807166,0.3220678692887772,0.3523514488668395,0.292428030814975,0.3187952686915888,0.3178442165585885,0.3412169787124904,0.3415390600684718,0.3493338838425543,0.3338388082505729,0.3334901714763697,0.3425719287562795,0.343075201841321
20,0.349934350381393,0.3679602639901004,0.3890963101938712,0.3431332269644994,0.40852637302882,0.3400363232023721,0.356303131245836,0.3363927061310782,0.3668376383763837,0.3262610304582978,0.3575513259195894,0.2986434604555926,0.3227826026054069,0.3173363267670915,0.3455534280420012,0.3453443158207183,0.3554815009183942,0.3344384164222873,0.3415796135909393,0.3479523254118676,0.347557233496327
21,0.357019973843776,0.3729253276843638,0.3951535714285714,0.3523724199062936,0.4149739141776444,0.3409293044469783,0.358660440122825,0.3446409741400954,0.3699177244945933,0.3308366506520246,0.3637479674796748,0.3053710418177424,0.328346371729161,0.3197567944250871,0.3497138769670958,0.3499652925343532,0.3626601601601601,0.3371379310344828,0.3510247417421247,0.3550501462599247,0.35301023125234854
22,0.3651325929283772,0.3759517734115846,0.400819170632223,0.3612365461361712,0.4217033516758379,0.3451137921579381,0.3618650842454802,0.3531547832318165,0.3727406657669815,0.3361019867549669,0.3706764079736791,0.3139883134738771,0.3352509100364014,0.3232716545990882,0.3538388434512153,0.35553639326453,0.3706847019391908,0.3409566689234936,0.3612509135200974,0.3613135480436519,0.35902940510833015
23,0.3738307892172783,0.3802248157248157,0.4059903669228271,0.3711691828973147,0.4288366217516843,0.3512971262852623,0.3652050005924872,0.3614617486338798,0.3757542684244651,0.3415065502183405,0.3772314583910593,0.3233606735469853,0.3413709373823566,0.3274722293980883,0.3590634070104934,0.3632492195629552,0.3784939206239963,0.3455563499285064,0.3707573992076439,0.3673159099580313,0.3654573987839236
24,0.3814324212271973,0.3846462375769049,0.4091691593604951,0.382232967032967,0.4363944869122075,0.3586774029926453,0.3690716240875912,0.370230902966424,0.3795417705735661,0.3478749532477247,0.38413884472708,0.3329426034892124,0.3479446664245065,0.3341797556719023,0.3641604457427242,0.3709072781655035,0.3861683015540615,0.3483483370842711,0.3808197635511934,0.3748700194363459,0.37218759709122623
