Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3544683544303797,0.3444164456233421,0.2786596736596736,0.3543606138107417,0.3404522613065326,0.3143187347931874,0.3768469656992084,0.3551608579088471,0.3658516483516483,0.3008333333333333,0.3385368888916894
2,0.3451913875598086,0.3443511450381679,0.2938156424581005,0.3391970802919708,0.3283372781065088,0.3089485981308411,0.3710333761232349,0.3505904522613065,0.3613461538461539,0.3038583973655324,0.3346669511181625
3,0.3379929851909587,0.3312912308930008,0.2952327272727272,0.3256899286280729,0.3232750582750583,0.2897915087187263,0.3608235294117646,0.3424754901960785,0.3564084507042253,0.3054232424677188,0.32684041517583307
4,0.3315711009174312,0.3219026548672566,0.2973510466988728,0.3214912280701755,0.3162914485165794,0.2799665551839465,0.3524673304293715,0.3295103857566765,0.351803680981595,0.3088752665245202,0.3211230697946425
5,0.331192639709223,0.3130967741935484,0.2971303792074989,0.3188500694123091,0.3103974895397489,0.2740614035087719,0.3403966699314398,0.3251677539608573,0.3541763565891473,0.3103668941979522,0.3174836430250497
6,0.3330699774266365,0.3024604966139955,0.3024061074061073,0.3196728252501924,0.3093144848954299,0.2692232658959537,0.3351942533387293,0.3256199460916441,0.3509880239520957,0.3106699576868829,0.3158619338557668
7,0.3239391025641025,0.2962993993044577,0.3017275996403956,0.320203679369251,0.3064067684140677,0.2712016448370393,0.3316117969821674,0.3265205254515599,0.3480443616661023,0.3102138554216867,0.313616873365083
8,0.3172833985466741,0.2924911660777385,0.2986207792207792,0.3197003424657534,0.3048811249637576,0.2737374537770733,0.3258095238095238,0.319833620195066,0.3437573099415205,0.3114118728657736,0.31075265918636596
9,0.3122902270483712,0.2912745098039215,0.3002790590405904,0.3191911211437171,0.3030964730290456,0.2753355861104637,0.3184486373165619,0.3202048867396284,0.3415916731316265,0.3139081131634323,0.3095620286527359
10,0.3102521008403361,0.2885632183908047,0.2997355320472931,0.3160575845843603,0.3031252921926133,0.2791171600082798,0.3136150617859641,0.3173647569048162,0.3408963682627805,0.3167321841496742,0.3085459259166922
11,0.3057598480303939,0.2890638216070742,0.3010116804822908,0.3138435923309788,0.305104656129859,0.2818988050784168,0.312869437447523,0.3154338842975207,0.3410647857889238,0.3187447297815255,0.30847952409745066
12,0.3034720951509607,0.2896697038724373,0.3041822268326417,0.3140477064220184,0.3061620553359684,0.2866074188562597,0.3127234530175707,0.3136795642374154,0.3419091601599694,0.3241659319344031,0.30966193158196453
13,0.3046328878362375,0.291468016194332,0.307611821086262,0.3152265480785367,0.309476872246696,0.2917546215831885,0.3083596352796773,0.3116032562125108,0.3402682159706448,0.3285315256452139,0.31089334001332997
14,0.3074771076728765,0.293137920627735,0.3110489977728285,0.316895668374476,0.3109344431096619,0.2964338235294117,0.3051975388601036,0.3092127592708988,0.3384893479664299,0.3344232812262862,0.3123250888410708
15,0.3101533560527486,0.2958426095533323,0.3112030386740331,0.3179763960852044,0.3149679743795036,0.3011074471008518,0.3020209558269259,0.3075159512761021,0.3384663865546218,0.339680096467584,0.3138934211970908
16,0.313969029017857,0.2974513157894736,0.31482221077042,0.3206675164363344,0.320960096009601,0.3052856407617086,0.2999957627118644,0.3069037375638612,0.3379780081243872,0.3423651342014349,0.3160398451386942
17,0.3185839368005267,0.3006828846628797,0.3181879518072288,0.3230025109855619,0.3272950358599352,0.3091253169141615,0.3003918329589005,0.3073626787057938,0.3390998427672956,0.3458462113659022,0.31895782028281855
18,0.3224302093718843,0.3049141531322506,0.322722033898305,0.3268210749646393,0.3324654559810501,0.3133339008058109,0.301778590013629,0.3076525573192239,0.3400098400984009,0.3488285179553163,0.322095633354051
19,0.3271929306064547,0.3076957091385522,0.3277416781878123,0.3319014084507041,0.3363354687692497,0.3176485967346067,0.3041583002568294,0.3110667329576841,0.3421934289680703,0.3515917355371901,0.3257525989607154
20,0.3322828282828283,0.3123248605083695,0.3326386941718405,0.3360574905581199,0.3409119206824993,0.3231151093639754,0.3061677867136718,0.3132567089660911,0.3462828337874659,0.3554387511668914,0.3298476984201753
21,0.3359751413634909,0.3150607783550632,0.3354563060935285,0.3402655659439028,0.3451958662482415,0.3282981053032466,0.3096058394160583,0.3164526461022963,0.3501181102362204,0.3591196013289037,0.3335547960390952
22,0.3394089521871821,0.3172006322052808,0.338672886349433,0.3447994133787492,0.3497313357034028,0.3322065727699531,0.3132730685635249,0.3186107482739316,0.3524415876429758,0.3634787224222283,0.33698239194966617
23,0.343378823073945,0.3193246110325319,0.3411436912922062,0.3474461469130239,0.3531230857580398,0.3364114832535885,0.3155042567125082,0.3218234250221827,0.3555736031186188,0.3674962774809494,0.34012254036575945
24,0.346745096233539,0.3204274654998316,0.3429371694181759,0.3505522208883553,0.3536609635299415,0.3401416774611398,0.318710049715909,0.3253246808150841,0.3570735138937742,0.3722889961711337,0.34278618336268846
25,0.3506219298245614,0.3227785794452461,0.345729253981559,0.3539983646770237,0.3542081140723137,0.3430586474245797,0.3225449253353581,0.3265037048969071,0.360152553707264,0.3763224580297751,0.3455918531394588
26,0.3549085723871833,0.3257502490612307,0.3479110433899289,0.3574801185092781,0.3549895749799519,0.3445522062035823,0.3266431208861776,0.3285090141925584,0.3627533985213451,0.3805418050105644,0.34840391031418005
27,0.3595335790992146,0.327849706744868,0.3501545750051871,0.3602469135802469,0.3542120799273388,0.3458490631265989,0.3306870229007633,0.329997803806735,0.365110656358951,0.3846182931220742,0.3508259693671978
28,0.3631264834239339,0.3287767187609504,0.3511900995320019,0.362861867842663,0.354061939280844,0.3458828947368421,0.3349083236321304,0.331618981158409,0.366972798958258,0.3877071709030791,0.35271072782291113
29,0.3659509516837482,0.329349344978166,0.351258246936852,0.3649605281067101,0.3536507828454731,0.3458223642973548,0.3384650920458492,0.3329225188044998,0.3681160572337043,0.3911875865708067,0.3541683473503164
30,0.3683771868439468,0.3281561035124894,0.3512686656671664,0.3681142410015649,0.3522057967264023,0.3464436198228394,0.3427716378162449,0.3347274926779575,0.3687497527852858,0.3938524693697107,0.35546669662236086
31,0.3708501576229123,0.3275258239055583,0.3506858026813337,0.3703085725004689,0.3502259852216748,0.3466476784794183,0.3456779336734694,0.3359984152139461,0.3695054183467741,0.3961689099066327,0.3563594697552188
32,0.3716703098881316,0.3250723571974822,0.3502111518869475,0.3711826571582669,0.3487041176470588,0.3464079956188389,0.3478790470372632,0.3370132148286749,0.3684220509423737,0.398458804335159,0.3565021706540197
33,0.3733660895816647,0.3220884935825265,0.3489253512266723,0.3721310106536136,0.3476322000561956,0.3446482122260669,0.3504483568075118,0.3388172526114793,0.367801545202952,0.4002434855701877,0.356610199751887
34,0.3748384902088386,0.3211953352769678,0.3477129289985427,0.3720387811634349,0.3472590020991441,0.3438791540785499,0.3528067899842094,0.3395041835357625,0.3668249627051218,0.4010856911883589,0.356714531923893
35,0.3759795779054553,0.3196893269181023,0.3471457880762731,0.3716970472231105,0.3465106020739823,0.3428648099796925,0.3546820401519263,0.34064465898474,0.3664733492442322,0.4020644676106011,0.35677516681681154
36,0.3768549534756431,0.3179190665342601,0.3463274870081663,0.3718632790422853,0.3467113228143296,0.3409735498839907,0.356543410041841,0.3408737597846138,0.3671038934530795,0.4024752771950854,0.3567645999233295
37,0.3772236280246718,0.3174061873388713,0.345441445869264,0.3717648079306072,0.3475001195543015,0.339181071061682,0.3584857892876975,0.3412242453282224,0.3670756480251832,0.4019402589900351,0.3567243201410536
38,0.378124014847206,0.3170575241601473,0.3443671158565462,0.3723268936495792,0.3472114188286254,0.3371267999140339,0.3601523869898084,0.3414746341688594,0.3670965752774879,0.4010885506102938,0.35660259143025874
39,0.3781219990200882,0.3163578877301974,0.3435935553525455,0.3725929178994082,0.3466063650102231,0.335627901193634,0.3613083737806889,0.3411990487620572,0.3665549352491649,0.4001278262816208,0.35620908102796284
40,0.3791946324608321,0.3157777349273685,0.3429937429809081,0.371686033519553,0.3466966625144968,0.3342795423633891,0.3626964090411958,0.3413360940651418,0.3655989479733015,0.3984956995288931,0.35587554993750803
41,0.3789875674193254,0.3147131503787407,0.3420574320393997,0.3712970801658604,0.3464493415860092,0.3328301194110599,0.3634677241196483,0.3411753252133565,0.3644855264281444,0.3973449571935685,0.35528082239551123
42,0.3788776501766784,0.3148574916936871,0.3408347721642519,0.3706743758102965,0.3469438861644826,0.3310625093464932,0.3642351480910802,0.3401159066341033,0.3641152305850295,0.3958024217961655,0.3547519392462268
43,0.3780988138919703,0.3150980316181029,0.3396148810822605,0.369088243620334,0.3471850899742931,0.3301122944287473,0.3648470212677749,0.3389093374660984,0.3635166833166833,0.39427890625,0.35407493029162646
44,0.3762644767753369,0.3147593392153182,0.3385064889265058,0.3680223266745006,0.3476248583301851,0.3286074726972645,0.3652498290220058,0.3377969693559882,0.3622849295992573,0.3926814005369229,0.3531798091133285
45,0.3753946055939033,0.3138933367298663,0.3376726233268289,0.366289306983272,0.3474232645128167,0.3273148463582476,0.3659018857611369,0.3363756133018353,0.3603812448505729,0.3911044147279721,0.3521751142146452
46,0.3747629818659861,0.3123123964611751,0.3371672320894033,0.364907274533613,0.3465713014064447,0.3258980590549879,0.3663816637597634,0.334908386187456,0.359021067925899,0.3894811891046156,0.3511411552389344
47,0.3740579112975727,0.3110991379310344,0.3357814569536424,0.3641157556270096,0.3458972984191774,0.3243705284096377,0.36693521043709,0.3335064424621484,0.3580201318619327,0.38805891290835,0.3501842786307595
48,0.3731224563953488,0.309944544065883,0.3349195398686237,0.36327226039281,0.3451973839066545,0.3231114020322922,0.3674851201147364,0.331861463964711,0.35660779078524,0.3863815325747659,0.3491903494101065
