Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.307482269503546,0.3572025316455696,0.3491602067183463,0.346969696969697,0.3296578947368421,0.3285128805620608,0.3444029850746268,0.3363636363636364,0.3281386861313868,0.3192053789731051,0.3347096166678817
2,0.3181489841986456,0.3433878787878788,0.3387670384138785,0.3492317073170731,0.323731527093596,0.3318125701459034,0.3486298932384342,0.324,0.3330304806565064,0.300578947368421,0.3311319027220337
3,0.3165378955114055,0.3190629921259842,0.3208373205741627,0.343008064516129,0.3151350277998411,0.3294634873323397,0.3375851393188854,0.3210450160771704,0.3281643625192012,0.2911317183951551,0.3221971024170275
4,0.3164704286489418,0.3130292397660818,0.3110484347312463,0.340433734939759,0.3009684947491249,0.3239838079285316,0.3332824207492795,0.3130629827688651,0.3220558375634518,0.2880977953646128,0.31624331772098946
5,0.3113329054343176,0.3077205199628598,0.3029060027919962,0.3385299760191846,0.293828125,0.3230655296229803,0.3262442396313363,0.3120925317050257,0.3198199819981998,0.2906137992831542,0.3126153611449055
6,0.3072735283750441,0.3023561013046814,0.3022811415349016,0.3390167197452228,0.2905442942942943,0.3219167291822956,0.3232368827160494,0.3104832424006236,0.3199419692998877,0.2950445269016697,0.311209513575467
7,0.3045644391408115,0.2963026444662096,0.3026121847363249,0.3422596647280191,0.2852644154189232,0.3201668286362163,0.3171839841164791,0.3085768847558951,0.3181518624641833,0.295367321089297,0.30904502295523595
8,0.3055946507400675,0.2925858156028368,0.3044262765347102,0.3449342694950703,0.2837023319615912,0.3204610538373424,0.3115985997666277,0.3090273335271881,0.3183897364771151,0.2952863497358911,0.3086006417678441
9,0.307006465019626,0.2935992023928214,0.3020658835546476,0.3461427810335643,0.2840640038498556,0.3219061056952283,0.3009201658890616,0.3048372933884298,0.3190733496332518,0.2967648514851486,0.3076380101941635
10,0.3110431804027402,0.2938132164531354,0.3006316274781005,0.3461257170172084,0.2857077186230489,0.3237613715885234,0.2932107728337236,0.2985285913528591,0.3237623436471362,0.2980460921843688,0.30746306315808447
11,0.3111060777651944,0.2986940984276087,0.2983494940978077,0.3445037919826652,0.2847517798730037,0.3223418803418804,0.2892746946646667,0.2888144329896907,0.3305032888180187,0.3011804572122193,0.30695199961727554
