,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4538,0.84,0.16,28,0.8529411764705882,0.7878787878787878,0.8787878787878788,7,6,9,20,22,20
2,4452,1.7,0.14988235294117644,28,1.7058823529411764,1.6363636363636365,1.7575757575757576,14,12,18,40,44,42
3,4366,2.56,0.1465625,28,2.5588235294117645,2.484848484848485,2.6363636363636362,21,18,27,60,66,64
4,4280,3.42,0.14491228070175438,28,3.411764705882353,3.3333333333333335,3.515151515151515,28,24,36,80,88,86
5,4195,4.27,0.14592505854800933,28,4.264705882352941,4.151515151515151,4.393939393939394,35,30,45,100,110,107
6,4113,5.12,0.1466015625,28,5.117647058823529,4.96969696969697,5.2727272727272725,42,36,54,120,132,128
7,4027,5.98,0.14565217391304344,28,5.970588235294118,5.818181818181818,6.151515151515151,49,42,63,140,154,150
8,3941,6.84,0.14494152046783626,28,6.823529411764706,6.666666666666667,7.03030303030303,56,48,72,160,176,172
9,3855,7.7,0.1443896103896104,28,7.676470588235294,7.515151515151516,7.909090909090909,63,54,81,180,198,194
10,3770,8.55,0.14490058479532167,28,8.529411764705882,8.363636363636363,8.757575757575758,70,60,89,200,220,216
11,3685,9.4,0.1453191489361703,28,9.382352941176471,9.212121212121213,9.606060606060606,77,67,97,220,242,237
12,3599,10.26,0.1447953216374269,28,10.264705882352942,10.06060606060606,10.454545454545455,84,74,105,240,265,258
13,3512,11.13,0.1435849056603773,28,11.147058823529411,10.93939393939394,11.303030303030303,91,81,113,260,288,280
14,3425,12.0,0.14256666666666662,28,12.029411764705882,11.787878787878787,12.181818181818182,98,88,122,280,311,301
15,3338,12.87,0.14162393162393158,28,12.911764705882353,12.636363636363637,13.06060606060606,105,95,130,301,334,322
16,3251,13.74,0.1407569141193595,28,13.794117647058824,13.484848484848484,13.93939393939394,112,101,138,322,357,344
17,3162,14.63,0.13883116883116883,28,14.676470588235293,14.363636363636363,14.848484848484848,119,108,147,343,380,366
18,3074,15.51,0.1376337846550612,28,15.558823529411764,15.212121212121213,15.757575757575758,126,115,156,364,403,387
19,2988,16.37,0.13750152718387298,28,16.441176470588236,16.060606060606062,16.606060606060606,133,122,164,384,426,408
20,2902,17.23,0.13752176436448052,28,17.323529411764707,16.87878787878788,17.484848484848484,140,129,172,405,449,428
21,2816,18.09,0.1375400773908237,28,18.205882352941178,17.696969696969695,18.363636363636363,147,136,180,426,472,448
22,2732,18.93,0.13839936608557848,28,19.058823529411764,18.515151515151516,19.21212121212121,154,143,188,446,494,468
23,2647,19.78,0.13874620829120318,28,19.91176470588235,19.363636363636363,20.060606060606062,161,150,196,466,516,489
24,2561,20.64,0.13861434108527135,28,20.794117647058822,20.21212121212121,20.90909090909091,168,157,204,486,539,510
25,2475,21.5,0.13854883720930233,28,21.676470588235293,21.03030303030303,21.78787878787879,175,163,212,507,562,531
26,2389,22.36,0.13845259391771023,28,22.558823529411764,21.87878787878788,22.636363636363637,182,170,220,527,585,552
27,2302,23.23,0.13801549720189413,28,23.441176470588236,22.757575757575758,23.484848484848484,189,177,228,547,608,574
28,2214,24.11,0.13729987557030285,28,24.323529411764707,23.636363636363637,24.363636363636363,196,184,236,568,631,596
29,2127,24.98,0.13692554043234595,28,25.205882352941178,24.515151515151516,25.21212121212121,203,191,243,589,654,618
30,2041,25.84,0.13689628482972138,28,26.08823529411765,25.363636363636363,26.060606060606062,210,198,250,610,677,639
31,1953,26.72,0.13630239520958085,28,26.970588235294116,26.242424242424242,26.939393939393938,217,205,258,631,700,661
32,1866,27.59,0.13594418267488223,28,27.852941176470587,27.151515151515152,27.757575757575758,224,212,265,651,723,684
33,1782,28.43,0.13641575800211045,28,28.735294117647058,27.96969696969697,28.575757575757574,231,219,272,671,746,704
34,1698,29.27,0.136887598223437,28,29.61764705882353,28.818181818181817,29.363636363636363,238,226,279,690,769,725
35,1619,30.12,0.13701195219123505,28,30.529411764705884,29.636363636363637,30.181818181818183,245,233,287,709,793,745
36,1536,30.98,0.13695932859909618,28,31.441176470588236,30.484848484848484,31.0,252,240,295,728,817,766
37,1449,31.85,0.1366875981161695,28,32.35294117647059,31.363636363636363,31.818181818181817,259,247,303,747,841,788
38,1369,32.65,0.1376140888208269,28,33.205882352941174,32.21212121212121,32.515151515151516,265,254,308,765,864,809
39,1293,33.41,0.13921281053576778,28,34.0,33.03030303030303,33.18181818181818,271,261,313,782,885,829
40,1221,34.13,0.14146205684148838,28,34.76470588235294,33.78787878787879,33.81818181818182,276,268,317,799,906,847
41,1148,34.86,0.14352839931153183,28,35.529411764705884,34.54545454545455,34.484848484848484,281,275,321,817,927,865
42,1076,35.58,0.14563237774030355,28,36.294117647058826,35.333333333333336,35.09090909090909,286,282,324,834,948,884
43,1006,36.28,0.1477839029768468,28,37.029411764705884,36.09090909090909,35.696969696969695,291,288,328,850,968,903
44,938,36.96,0.15007034632034633,28,37.73529411764706,36.78787878787879,36.333333333333336,296,294,331,868,987,920
45,872,37.62,0.15284954811270596,28,38.411764705882355,37.54545454545455,36.878787878787875,301,301,334,883,1005,938
46,812,38.22,0.15577184720041856,28,38.970588235294116,38.303030303030305,37.36363636363637,303,308,337,896,1022,956
47,755,38.79,0.1588837329208559,28,39.470588235294116,39.0,37.878787878787875,305,315,340,910,1037,972
48,701,39.33,0.1620162725654717,28,39.94117647058823,39.63636363636363,38.39393939393939,307,321,343,924,1051,987
49,650,39.84,0.16517068273092364,28,40.411764705882355,40.24242424242424,38.84848484848485,309,327,346,936,1065,1001
50,604,40.3,0.16819851116625315,28,40.794117647058826,40.81818181818182,39.27272727272727,310,333,348,948,1077,1014
51,555,40.79,0.17102476097082614,28,41.23529411764706,41.39393939393939,39.72727272727273,311,339,351,960,1091,1027
52,507,41.27,0.17406106130361038,28,41.705882352941174,41.90909090909091,40.18181818181818,312,344,355,971,1106,1039
53,460,41.74,0.176689027311931,28,42.14705882352941,42.39393939393939,40.666666666666664,313,349,358,984,1120,1050
54,414,42.2,0.1791943127962085,28,42.588235294117645,42.878787878787875,41.121212121212125,313,354,360,997,1135,1061
55,377,42.57,0.1812896405919662,28,42.8235294117647,43.39393939393939,41.484848484848484,313,360,363,1006,1143,1072
56,341,42.93,0.1835057069648265,28,43.14705882352941,43.90909090909091,41.72727272727273,314,365,365,1012,1153,1084
57,311,43.23,0.18590562109646072,28,43.35294117647059,44.39393939393939,41.93939393939394,315,369,366,1018,1159,1096
58,280,43.54,0.18881947634359209,28,43.61764705882353,44.84848484848485,42.15151515151515,316,374,367,1024,1167,1106
59,250,43.84,0.19121350364963505,28,43.88235294117647,45.27272727272727,42.36363636363637,317,378,369,1029,1175,1116
60,222,44.12,0.1933635539437897,28,44.029411764705884,45.666666666666664,42.666666666666664,317,382,372,1036,1180,1125
61,200,44.34,0.19495263870094717,28,44.14705882352941,46.03030303030303,42.84848484848485,318,386,375,1039,1183,1133
