,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4534,0.88,0.12,28,0.9117647058823529,0.8484848484848485,0.8787878787878788,10,9,8,21,21,19
2,4446,1.76,0.12,28,1.8235294117647058,1.696969696969697,1.7575757575757576,20,18,16,42,42,38
3,4358,2.64,0.11992424242424249,28,2.735294117647059,2.515151515151515,2.6666666666666665,30,27,24,64,63,56
4,4270,3.52,0.1198863636363636,28,3.6470588235294117,3.3333333333333335,3.5757575757575757,40,36,32,86,84,74
5,4182,4.4,0.11990909090909085,28,4.5588235294117645,4.151515151515151,4.484848484848484,50,45,40,108,105,92
6,4094,5.28,0.11992424242424249,28,5.470588235294118,4.96969696969697,5.393939393939394,60,54,48,130,126,110
7,4005,6.17,0.1184602917341978,28,6.382352941176471,5.818181818181818,6.303030303030303,70,63,56,152,147,129
8,3916,7.06,0.11736543909348442,28,7.294117647058823,6.666666666666667,7.212121212121212,80,72,64,174,168,148
9,3833,7.95,0.1165408805031447,28,8.205882352941176,7.515151515151516,8.121212121212121,90,81,72,196,189,167
10,3750,8.84,0.11588235294117652,28,9.117647058823529,8.363636363636363,9.030303030303031,100,90,80,218,210,186
11,3664,9.73,0.11526207605344296,28,10.058823529411764,9.212121212121213,9.909090909090908,110,99,88,239,232,205
12,3586,10.6,0.11639622641509434,28,10.970588235294118,10.030303030303031,10.787878787878787,120,108,96,260,253,223
13,3505,11.47,0.11735832606800344,28,11.882352941176471,10.848484848484848,11.666666666666666,130,117,104,281,274,241
14,3427,12.34,0.1182009724473258,28,12.794117647058824,11.666666666666666,12.545454545454545,140,126,112,302,295,259
15,3349,13.21,0.11897804693414074,28,13.705882352941176,12.484848484848484,13.424242424242424,150,135,120,323,316,277
16,3267,14.09,0.11899929027679207,28,14.647058823529411,13.303030303030303,14.303030303030303,160,144,128,344,338,295
17,3191,14.97,0.11903139612558448,28,15.588235294117647,14.121212121212121,15.181818181818182,170,153,136,365,360,313
18,3106,15.85,0.1190599369085173,28,16.529411764705884,14.93939393939394,16.060606060606062,180,162,144,386,382,331
19,3031,16.72,0.11955741626794264,28,17.441176470588236,15.757575757575758,16.939393939393938,190,171,152,407,403,349
20,2948,17.58,0.12053469852104669,28,18.323529411764707,16.575757575757574,17.818181818181817,200,180,160,428,423,367
21,2868,18.44,0.12144251626898055,28,19.205882352941178,17.393939393939394,18.696969696969695,210,189,168,449,443,385
22,2786,19.29,0.12270088128564026,28,20.08823529411765,18.21212121212121,19.545454545454547,220,198,176,469,463,403
23,2699,20.16,0.12298611111111114,28,21.0,19.03030303030303,20.424242424242426,230,207,184,490,484,421
24,2622,21.02,0.12363463368220735,28,21.88235294117647,19.848484848484848,21.303030303030305,240,216,192,511,504,439
25,2540,21.9,0.12344292237442929,28,22.764705882352942,20.666666666666668,22.242424242424242,250,225,201,533,524,457
26,2459,22.77,0.12361440491875271,28,23.647058823529413,21.484848484848484,23.151515151515152,260,234,210,554,544,475
27,2378,23.64,0.12376480541455166,28,24.5,22.303030303030305,24.09090909090909,269,243,219,576,564,493
28,2296,24.52,0.1235073409461664,28,25.38235294117647,23.12121212121212,25.03030303030303,278,252,228,598,585,511
29,2214,25.4,0.12328346456692912,28,26.264705882352942,23.939393939393938,25.96969696969697,287,261,237,620,606,529
30,2129,26.28,0.1230974124809741,28,27.147058823529413,24.78787878787879,26.87878787878788,296,270,246,641,627,548
31,2044,27.16,0.12290868924889536,28,28.029411764705884,25.606060606060606,27.818181818181817,305,279,255,663,648,566
32,1961,28.02,0.12332619557458954,28,28.91176470588235,26.393939393939394,28.727272727272727,314,288,263,685,669,583
33,1878,28.91,0.12286751988931172,28,29.794117647058822,27.242424242424242,29.666666666666668,323,297,272,707,690,602
34,1792,29.8,0.12243624161073825,28,30.676470588235293,28.09090909090909,30.606060606060606,332,306,281,729,711,621
35,1705,30.67,0.12257254646234102,28,31.558823529411764,28.90909090909091,31.515151515151516,341,315,290,750,732,639
36,1622,31.53,0.12282588011417701,28,32.411764705882355,29.727272727272727,32.42424242424242,350,324,299,771,752,657
37,1543,32.35,0.12397836166924264,28,33.26470588235294,30.515151515151516,33.24242424242424,359,333,307,790,772,674
38,1467,33.14,0.12573325286662637,28,34.05882352941177,31.272727272727273,34.06060606060606,368,342,315,809,790,690
39,1392,33.92,0.12759433962264155,28,34.85294117647059,32.03030303030303,34.84848484848485,377,351,323,827,808,706
40,1315,34.69,0.12953300663015285,28,35.6764705882353,32.75757575757576,35.60606060606061,386,359,331,844,827,722
41,1246,35.44,0.13169300225733635,28,36.44117647058823,33.515151515151516,36.333333333333336,394,367,339,860,845,739
42,1182,36.11,0.13491276654666293,28,37.1764705882353,34.18181818181818,36.93939393939394,402,374,345,874,862,754
43,1118,36.78,0.1379771615008157,28,37.94117647058823,34.84848484848485,37.515151515151516,410,381,352,886,880,769
44,1059,37.43,0.14093240716003208,28,38.6764705882353,35.54545454545455,38.03030303030303,418,388,357,898,897,785
45,1002,38.06,0.14389910667367317,28,39.38235294117647,36.24242424242424,38.515151515151516,426,396,361,910,913,800
46,948,38.66,0.14668908432488365,28,40.029411764705884,36.81818181818182,39.09090909090909,434,403,366,924,927,812
47,893,39.27,0.14940412528647826,28,40.6764705882353,37.42424242424242,39.666666666666664,442,410,371,938,941,825
48,849,39.83,0.15295756967110222,28,41.35294117647059,37.90909090909091,40.18181818181818,450,416,375,951,956,835
49,803,40.38,0.1562803368003962,28,42.029411764705884,38.39393939393939,40.666666666666664,459,422,378,964,970,845
50,756,40.88,0.15964774951076321,28,42.6764705882353,38.81818181818182,41.09090909090909,467,427,381,975,984,854
51,711,41.36,0.1630754352030948,28,43.23529411764706,39.24242424242424,41.54545454545455,474,432,384,987,996,863
52,671,41.79,0.16657334290500117,28,43.794117647058826,39.57575757575758,41.93939393939394,481,437,387,997,1008,869
53,634,42.25,0.17012307692307688,28,44.38235294117647,39.93939393939394,42.36363636363637,488,442,390,1008,1021,876
54,597,42.68,0.1738566073102156,28,44.911764705882355,40.27272727272727,42.78787878787879,495,447,393,1019,1032,882
55,566,43.11,0.17740895383901645,28,45.5,40.60606060606061,43.15151515151515,503,452,396,1028,1044,888
56,531,43.55,0.18069575200918478,28,46.05882352941177,40.93939393939394,43.57575757575758,510,457,400,1038,1056,894
57,505,43.96,0.18388535031847128,28,46.55882352941177,41.27272727272727,43.96969696969697,516,461,404,1047,1067,901
58,472,44.32,0.18683212996389897,28,47.05882352941177,41.484848484848484,44.333333333333336,521,464,408,1055,1079,905
59,442,44.68,0.18959265890778865,28,47.529411764705884,41.696969696969695,44.72727272727273,526,467,413,1063,1090,909
60,410,45.06,0.19246782068353313,28,48.0,41.93939393939394,45.15151515151515,531,470,418,1072,1101,914
61,389,45.39,0.19514210178453412,28,48.411764705882355,42.18181818181818,45.484848484848484,534,473,422,1079,1112,919
62,357,45.74,0.19768255356362047,28,48.794117647058826,42.484848484848484,45.84848484848485,537,476,426,1087,1122,926
63,334,46.06,0.20026487190620926,28,49.1764705882353,42.75757575757576,46.15151515151515,540,479,430,1093,1132,932
64,306,46.37,0.2027927539357343,28,49.64705882352941,42.96969696969697,46.39393939393939,547,482,434,1097,1141,936
65,295,46.57,0.2047562808675113,28,49.88235294117647,43.121212121212125,46.60606060606061,550,485,437,1101,1146,938
66,283,46.78,0.20660538691748612,28,50.11764705882353,43.303030303030305,46.81818181818182,553,488,439,1106,1151,941
67,266,47.04,0.20890731292517004,28,50.411764705882355,43.54545454545455,47.06060606060606,557,492,442,1111,1157,945
68,256,47.26,0.21101565806178585,28,50.6764705882353,43.75757575757576,47.24242424242424,561,496,445,1114,1162,948
69,251,47.46,0.21316477033291192,28,50.911764705882355,43.96969696969697,47.39393939393939,564,500,447,1117,1167,951
70,239,47.64,0.21508396305625524,28,51.088235294117645,44.18181818181818,47.54545454545455,567,504,449,1120,1170,954
71,223,47.83,0.21709178339954008,28,51.294117647058826,44.39393939393939,47.696969696969695,570,508,451,1123,1174,957
72,218,48.0,0.21898750000000006,28,51.470588235294116,44.60606060606061,47.81818181818182,572,512,453,1125,1178,960
73,216,48.17,0.22077434087606393,28,51.6764705882353,44.78787878787879,47.93939393939394,575,516,456,1126,1182,962
74,202,48.34,0.22267273479520072,28,51.911764705882355,44.96969696969697,48.03030303030303,578,520,458,1127,1187,964
75,204,48.5,0.22442474226804124,28,52.088235294117645,45.15151515151515,48.15151515151515,580,524,460,1129,1191,966
76,199,48.67,0.22604684610643105,28,52.294117647058826,45.333333333333336,48.27272727272727,582,527,462,1131,1196,969
77,192,48.83,0.22773499897603927,28,52.470588235294116,45.484848484848484,48.42424242424242,585,530,464,1134,1199,971
78,193,49.0,0.22950612244897953,28,52.6764705882353,45.63636363636363,48.57575757575758,588,533,466,1137,1203,973
79,187,49.18,0.23142334282228547,28,52.88235294117647,45.81818181818182,48.72727272727273,591,537,468,1140,1207,975
80,176,49.38,0.23332928311057102,28,53.088235294117645,46.03030303030303,48.90909090909091,593,542,470,1144,1212,977
81,170,49.56,0.23519370460048422,28,53.23529411764706,46.24242424242424,49.09090909090909,595,547,472,1148,1215,979
82,161,49.71,0.23685576342788167,28,53.38235294117647,46.42424242424242,49.21212121212121,597,551,474,1150,1218,981
83,158,49.86,0.23852386682711596,28,53.529411764705884,46.60606060606061,49.333333333333336,599,555,476,1152,1221,983
84,160,50.02,0.2401839264294283,28,53.705882352941174,46.78787878787879,49.45454545454545,601,559,478,1154,1225,985
85,155,50.19,0.24195855748157002,28,53.88235294117647,46.96969696969697,49.60606060606061,603,563,480,1157,1229,987
86,145,50.35,0.24376365441906656,28,54.029411764705884,47.15151515151515,49.75757575757576,605,567,482,1160,1232,989
87,139,50.5,0.2454811881188118,28,54.1764705882353,47.333333333333336,49.878787878787875,607,571,484,1162,1235,991
88,139,50.65,0.24719644619940767,28,54.3235294117647,47.515151515151516,50.0,609,575,486,1164,1238,993
89,143,50.79,0.24882654065760973,28,54.470588235294116,47.696969696969695,50.09090909090909,611,579,488,1165,1241,995
90,141,50.93,0.2504201845670528,28,54.588235294117645,47.878787878787875,50.21212121212121,613,583,490,1167,1243,997
91,132,51.08,0.25214565387627247,28,54.73529411764706,48.06060606060606,50.333333333333336,615,587,492,1169,1246,999
92,128,51.24,0.25395784543325534,28,54.88235294117647,48.24242424242424,50.484848484848484,617,591,494,1172,1249,1001
93,120,51.41,0.25555533942812686,28,55.029411764705884,48.42424242424242,50.666666666666664,619,595,496,1176,1252,1003
94,110,51.57,0.25735699049835176,28,55.1764705882353,48.60606060606061,50.81818181818182,621,599,498,1179,1255,1005
95,112,51.73,0.2591513628455442,28,55.3235294117647,48.78787878787879,50.96969696969697,623,603,500,1182,1258,1007
96,109,51.88,0.2608326908249808,28,55.44117647058823,48.96969696969697,51.121212121212125,625,607,502,1185,1260,1009
97,99,52.04,0.2626095311299001,28,55.588235294117645,49.15151515151515,51.27272727272727,627,611,504,1188,1263,1011
98,95,52.2,0.26437547892720303,28,55.73529411764706,49.333333333333336,51.42424242424242,629,615,506,1191,1266,1013
99,98,52.35,0.2660420248328558,28,55.88235294117647,49.515151515151516,51.54545454545455,631,619,508,1193,1269,1015
100,98,52.5,0.2677028571428572,28,56.029411764705884,49.696969696969695,51.666666666666664,633,623,510,1195,1272,1017
101,92,52.65,0.26935422602089276,28,56.1764705882353,49.878787878787875,51.78787878787879,635,627,512,1197,1275,1019
102,87,52.79,0.27079560522826296,28,56.3235294117647,50.06060606060606,51.878787878787875,638,631,514,1198,1277,1021
103,89,52.92,0.2722448979591837,28,56.44117647058823,50.24242424242424,51.96969696969697,640,635,516,1199,1279,1023
104,88,53.05,0.27368708765315747,28,56.55882352941177,50.42424242424242,52.06060606060606,642,639,518,1200,1281,1025
105,90,53.18,0.27512222640090256,28,56.6764705882353,50.60606060606061,52.15151515151515,644,643,520,1201,1283,1027
106,91,53.32,0.2766391597899475,28,56.794117647058826,50.78787878787879,52.27272727272727,646,647,522,1203,1285,1029
107,92,53.46,0.2781481481481481,28,56.911764705882355,50.96969696969697,52.39393939393939,648,651,524,1205,1287,1031
108,93,53.6,0.27964925373134336,28,57.029411764705884,51.15151515151515,52.515151515151516,650,655,526,1207,1289,1033
109,94,53.74,0.28114625976925933,28,57.14705882352941,51.333333333333336,52.63636363636363,652,659,528,1209,1291,1035
110,91,53.89,0.2827147893857858,28,57.26470588235294,51.515151515151516,52.78787878787879,654,663,530,1212,1293,1037
111,81,54.05,0.2842053654024052,28,57.38235294117647,51.696969696969695,52.96969696969697,656,667,532,1216,1295,1039
112,72,54.23,0.2857293011248386,28,57.529411764705884,51.878787878787875,53.18181818181818,658,671,534,1221,1298,1041
113,66,54.38,0.28726369988966527,28,57.64705882352941,52.06060606060606,53.333333333333336,660,675,536,1224,1300,1043
114,61,54.52,0.28860234776228905,28,57.794117647058826,52.21212121212121,53.45454545454545,662,678,538,1226,1303,1045
115,64,54.64,0.2898462664714495,28,57.911764705882355,52.39393939393939,53.515151515151516,664,682,538,1228,1305,1047
116,53,54.78,0.29109163928441034,28,58.0,52.57575757575758,53.666666666666664,665,686,539,1232,1307,1049
117,48,54.92,0.29253095411507646,28,58.11764705882353,52.75757575757576,53.78787878787879,667,690,541,1234,1309,1051
118,44,55.05,0.29385467756584915,28,58.23529411764706,52.90909090909091,53.90909090909091,669,693,543,1236,1311,1053
119,34,55.18,0.29517941283073584,28,58.35294117647059,53.06060606060606,54.03030303030303,671,696,545,1238,1313,1055
120,34,55.27,0.2960828659308848,28,58.411764705882355,53.21212121212121,54.09090909090909,671,699,545,1240,1315,1057
121,35,55.35,0.29690514905149057,28,58.470588235294116,53.333333333333336,54.15151515151515,671,701,545,1242,1317,1059
122,36,55.43,0.2976889770882194,28,58.529411764705884,53.45454545454545,54.21212121212121,671,704,545,1244,1319,1060
123,45,55.52,0.29858429394812674,28,58.61764705882353,53.57575757575758,54.27272727272727,672,707,545,1246,1321,1061
124,41,55.62,0.29957928802588996,28,58.705882352941174,53.72727272727273,54.333333333333336,673,711,545,1248,1323,1062
125,44,55.71,0.30048644767546223,28,58.794117647058826,53.878787878787875,54.36363636363637,674,715,545,1249,1325,1063
126,51,55.79,0.3012780068112565,28,58.88235294117647,54.0,54.39393939393939,675,719,545,1250,1327,1063
127,47,55.86,0.30199427139276763,28,58.970588235294116,54.121212121212125,54.39393939393939,676,723,545,1250,1329,1063
128,48,55.94,0.3028351805505899,28,59.05882352941177,54.27272727272727,54.39393939393939,677,727,545,1250,1331,1064
129,44,56.04,0.3038115631691649,28,59.14705882352941,54.42424242424242,54.45454545454545,678,731,545,1252,1333,1065
130,49,56.14,0.30478446740292126,28,59.23529411764706,54.57575757575758,54.515151515151516,679,735,545,1254,1335,1066
131,50,56.25,0.3055377777777778,28,59.35294117647059,54.75757575757576,54.54545454545455,681,740,545,1255,1337,1067
132,49,56.38,0.30623980134799583,28,59.5,54.96969696969697,54.57575757575758,683,746,545,1256,1340,1068
133,50,56.49,0.30676756948132405,28,59.64705882352941,55.121212121212125,54.60606060606061,685,751,545,1257,1343,1068
134,51,56.6,0.3072473498233215,28,59.76470588235294,55.303030303030305,54.63636363636363,687,756,546,1257,1345,1069
135,58,56.71,0.30774995591606413,28,59.88235294117647,55.484848484848484,54.666666666666664,689,761,547,1257,1347,1070
136,52,56.83,0.30833890550765447,28,60.0,55.666666666666664,54.72727272727273,691,766,548,1258,1349,1071
137,52,56.95,0.3089710272168568,28,60.11764705882353,55.84848484848485,54.78787878787879,693,771,549,1259,1351,1072
138,61,57.07,0.3096285263711232,28,60.23529411764706,56.03030303030303,54.84848484848485,695,776,550,1260,1353,1073
139,54,57.2,0.3104125874125874,28,60.35294117647059,56.24242424242424,54.90909090909091,697,782,551,1261,1355,1074
140,49,57.34,0.31130449947680505,28,60.5,56.45454545454545,54.96969696969697,699,788,552,1262,1358,1075
141,50,57.45,0.3118973020017407,28,60.61764705882353,56.60606060606061,55.03030303030303,701,793,553,1263,1360,1075
142,44,57.57,0.31261247177349316,28,60.76470588235294,56.75757575757576,55.09090909090909,703,798,554,1264,1363,1075
143,35,57.69,0.3133593343733749,28,60.911764705882355,56.90909090909091,55.15151515151515,705,803,555,1265,1366,1075
144,33,57.8,0.3140242214532871,28,61.029411764705884,57.06060606060606,55.21212121212121,707,808,556,1266,1368,1075
145,33,57.89,0.3144912765589912,28,61.11764705882353,57.18181818181818,55.27272727272727,708,812,557,1267,1370,1075
146,30,57.98,0.31505346671265955,28,61.205882352941174,57.333333333333336,55.303030303030305,710,817,558,1267,1371,1075
147,30,58.07,0.3156276907180988,28,61.294117647058826,57.484848484848484,55.333333333333336,712,822,559,1267,1372,1075
148,31,58.15,0.31610834049871017,28,61.38235294117647,57.60606060606061,55.36363636363637,714,826,560,1267,1373,1075
149,36,58.22,0.3165029199587771,28,61.470588235294116,57.696969696969695,55.39393939393939,716,829,561,1267,1374,1075
150,42,58.31,0.31711370262390676,28,61.55882352941177,57.84848484848485,55.42424242424242,718,834,562,1267,1375,1075
151,41,58.41,0.31780345831193285,28,61.64705882352941,58.0,55.484848484848484,720,839,563,1268,1376,1075
152,46,58.51,0.3185079473594257,28,61.73529411764706,58.15151515151515,55.54545454545455,722,844,564,1269,1377,1075
153,49,58.6,0.31917406143344706,28,61.8235294117647,58.303030303030305,55.57575757575758,724,849,564,1270,1378,1075
154,45,58.7,0.31993867120954006,28,61.94117647058823,58.45454545454545,55.60606060606061,726,854,564,1271,1380,1075
155,50,58.8,0.3207074829931973,28,62.05882352941177,58.60606060606061,55.63636363636363,728,859,564,1272,1382,1075
156,51,58.91,0.3215803768460363,28,62.205882352941174,58.75757575757576,55.666666666666664,731,864,564,1273,1384,1075
157,49,59.02,0.3224534056252118,28,62.35294117647059,58.90909090909091,55.696969696969695,734,869,564,1274,1386,1075
158,56,59.13,0.3233367157111449,28,62.5,59.06060606060606,55.72727272727273,737,874,564,1275,1388,1075
159,56,59.25,0.32428185654008446,28,62.6764705882353,59.21212121212121,55.75757575757576,740,879,564,1276,1391,1075
160,50,59.37,0.32523665150749537,28,62.85294117647059,59.36363636363637,55.78787878787879,743,884,564,1277,1394,1075
161,53,59.49,0.3261943183728357,28,63.029411764705884,59.515151515151516,55.81818181818182,746,889,564,1278,1397,1075
162,56,59.61,0.32715483979198123,28,63.205882352941174,59.666666666666664,55.84848484848485,749,894,564,1279,1400,1075
163,62,59.73,0.32811150175791054,28,63.38235294117647,59.81818181818182,55.878787878787875,752,899,564,1280,1403,1075
164,63,59.87,0.3289844663437448,28,63.55882352941177,59.96969696969697,55.96969696969697,755,904,566,1281,1406,1075
165,60,60.02,0.32995668110629794,28,63.73529411764706,60.15151515151515,56.06060606060606,758,910,568,1282,1409,1075
166,59,60.18,0.33075108009305426,28,63.911764705882355,60.36363636363637,56.15151515151515,761,916,570,1283,1412,1076
167,66,60.32,0.3315716180371352,28,64.08823529411765,60.54545454545455,56.21212121212121,764,921,571,1284,1415,1077
168,69,60.47,0.33228543079212824,28,64.26470588235294,60.72727272727273,56.303030303030305,767,926,573,1285,1418,1078
169,71,60.63,0.33311067128484256,28,64.44117647058823,60.93939393939394,56.39393939393939,770,932,575,1286,1421,1079
170,70,60.79,0.333951307780885,28,64.61764705882354,61.15151515151515,56.484848484848484,773,938,577,1287,1424,1080
171,78,60.95,0.3349089417555373,28,64.79411764705883,61.36363636363637,56.57575757575758,776,944,578,1289,1427,1081
172,78,61.1,0.3357643207855973,28,64.97058823529412,61.54545454545455,56.666666666666664,779,949,579,1291,1430,1082
173,77,61.26,0.3366797257590598,28,65.17647058823529,61.696969696969695,56.78787878787879,783,954,581,1293,1433,1082
174,79,61.45,0.3375410903173312,28,65.38235294117646,61.90909090909091,56.93939393939394,787,960,584,1295,1436,1083
175,76,61.63,0.33859970793444744,28,65.58823529411765,62.09090909090909,57.09090909090909,791,966,587,1297,1439,1083
176,75,61.79,0.3394157630684578,28,65.79411764705883,62.24242424242424,57.21212121212121,795,971,590,1298,1442,1083
177,76,61.96,0.3404002582311169,28,66.0,62.42424242424242,57.333333333333336,799,977,593,1299,1445,1083
178,74,62.13,0.3413890230162562,28,66.20588235294117,62.60606060606061,57.45454545454545,803,983,596,1300,1448,1083
179,66,62.3,0.342378812199037,28,66.41176470588235,62.78787878787879,57.57575757575758,807,989,599,1301,1451,1083
180,73,62.47,0.3433824235633104,28,66.61764705882354,62.96969696969697,57.696969696969695,811,995,602,1302,1454,1083
181,75,62.63,0.3441944754909788,28,66.82352941176471,63.121212121212125,57.81818181818182,815,1000,604,1304,1457,1083
182,74,62.79,0.345152094282529,28,67.0,63.303030303030305,57.93939393939394,818,1006,605,1307,1460,1083
183,79,62.98,0.34602413464591936,28,67.23529411764706,63.484848484848484,58.09090909090909,821,1012,607,1310,1465,1083
184,85,63.16,0.34693793540215323,28,67.44117647058823,63.666666666666664,58.24242424242424,824,1018,609,1313,1469,1083
185,76,63.34,0.3479412693400694,28,67.6470588235294,63.84848484848485,58.39393939393939,827,1024,611,1316,1473,1083
186,77,63.51,0.34904267044559917,28,67.82352941176471,64.03030303030303,58.54545454545455,830,1030,613,1319,1476,1083
187,69,63.68,0.35015075376884425,28,68.0,64.21212121212122,58.696969696969695,833,1036,615,1322,1479,1083
188,75,63.83,0.35121572928090244,28,68.17647058823529,64.39393939393939,58.78787878787879,836,1042,617,1323,1482,1083
189,75,63.98,0.3522788371366052,28,68.3529411764706,64.57575757575758,58.878787878787875,839,1048,619,1324,1485,1083
190,81,64.13,0.35334009044129117,28,68.52941176470588,64.75757575757575,58.96969696969697,842,1054,621,1325,1488,1083
191,73,64.3,0.3542239502332815,28,68.73529411764706,64.96969696969697,59.06060606060606,845,1060,623,1326,1492,1084
192,80,64.47,0.3551186598417868,28,68.94117647058823,65.18181818181819,59.15151515151515,848,1066,625,1327,1496,1085
193,78,64.64,0.3560241336633663,28,69.1470588235294,65.39393939393939,59.24242424242424,851,1072,627,1328,1500,1086
194,70,64.81,0.3569402869927481,28,69.3529411764706,65.60606060606061,59.333333333333336,854,1078,629,1329,1504,1087
195,74,64.98,0.35785472453062483,28,69.55882352941177,65.81818181818181,59.42424242424242,857,1084,631,1330,1508,1088
196,78,65.15,0.35878587874136614,28,69.76470588235294,66.03030303030303,59.515151515151516,860,1090,633,1331,1512,1089
197,73,65.32,0.359721371708512,28,69.97058823529412,66.24242424242425,59.60606060606061,863,1096,635,1332,1516,1090
198,67,65.5,0.36072977099236636,28,70.17647058823529,66.45454545454545,59.72727272727273,866,1102,637,1334,1520,1091
