,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4532,0.9,0.1,28,0.8823529411764706,0.8787878787878788,0.9393939393939394,8,9,9,22,22,20
2,4442,1.8,0.1,28,1.7647058823529411,1.7575757575757576,1.878787878787879,16,18,18,44,44,40
3,4352,2.7,0.1,28,2.6470588235294117,2.6363636363636362,2.8181818181818183,24,27,27,66,66,60
4,4262,3.6,0.1,28,3.5294117647058822,3.515151515151515,3.757575757575758,32,36,36,88,88,80
5,4172,4.5,0.1,28,4.411764705882353,4.393939393939394,4.696969696969697,40,45,45,110,110,100
6,4082,5.4,0.1,28,5.294117647058823,5.2727272727272725,5.636363636363637,48,54,54,132,132,120
7,3992,6.3,0.1,28,6.176470588235294,6.151515151515151,6.575757575757576,56,63,63,154,154,140
8,3902,7.2,0.1,28,7.0588235294117645,7.03030303030303,7.515151515151516,64,72,72,176,176,160
9,3816,8.12,0.09773399014778321,28,7.970588235294118,7.9393939393939394,8.454545454545455,72,81,81,198,199,181
10,3727,9.04,0.09592920353982308,28,8.882352941176471,8.848484848484848,9.393939393939394,80,90,90,220,222,202
11,3635,9.96,0.09445783132530124,28,9.794117647058824,9.757575757575758,10.333333333333334,88,99,99,242,245,223
12,3543,10.88,0.09318014705882348,28,10.705882352941176,10.696969696969697,11.242424242424242,96,108,108,263,268,245
13,3452,11.79,0.09283290924512301,28,11.617647058823529,11.636363636363637,12.121212121212121,104,117,117,283,291,267
14,3363,12.68,0.09384858044164034,28,12.529411764705882,12.515151515151516,13.0,112,125,126,303,314,288
15,3274,13.57,0.09468680913780403,28,13.441176470588236,13.393939393939394,13.878787878787879,120,133,135,323,337,309
16,3183,14.48,0.09425414364640887,28,14.352941176470589,14.303030303030303,14.787878787878787,128,141,144,344,360,331
17,3090,15.41,0.09279039584685264,28,15.264705882352942,15.242424242424242,15.727272727272727,136,150,153,366,383,353
18,2997,16.34,0.09149326805385556,28,16.176470588235293,16.181818181818183,16.666666666666668,144,159,162,388,406,375
19,2904,17.27,0.09033584250144756,28,17.08823529411765,17.12121212121212,17.606060606060606,152,168,171,410,429,397
20,2812,18.19,0.08972512369433758,28,18.0,18.060606060606062,18.515151515151516,160,177,179,432,452,419
21,2724,19.1,0.08961256544502617,28,18.91176470588235,19.0,19.393939393939394,168,186,187,453,475,441
22,2639,20.01,0.08954022988505742,28,19.823529411764707,19.939393939393938,20.272727272727273,176,195,195,474,498,463
23,2551,20.92,0.08943594646271506,28,20.735294117647058,20.87878787878788,21.151515151515152,184,204,203,495,521,485
24,2459,21.84,0.08895604395604394,28,21.647058823529413,21.818181818181817,22.060606060606062,192,213,212,516,544,507
25,2368,22.75,0.08891868131868136,28,22.558823529411764,22.757575757575758,22.939393939393938,200,222,221,536,567,529
26,2277,23.66,0.08883347421808964,28,23.470588235294116,23.666666666666668,23.848484848484848,208,231,230,557,590,550
27,2185,24.58,0.08842148087876325,28,24.38235294117647,24.575757575757574,24.78787878787879,216,240,239,579,613,571
28,2093,25.5,0.08805490196078437,28,25.294117647058822,25.484848484848484,25.727272727272727,224,249,248,601,636,592
29,2002,26.41,0.0880461946232488,28,26.205882352941178,26.393939393939394,26.636363636363637,232,258,257,622,659,613
30,1910,27.33,0.08773874862788147,28,27.11764705882353,27.303030303030305,27.575757575757574,240,267,266,644,682,634
31,1825,28.24,0.08771954674220965,28,28.029411764705884,28.21212121212121,28.484848484848484,248,276,274,666,705,655
32,1739,29.16,0.08745541838134428,28,28.941176470588236,29.12121212121212,29.424242424242426,256,285,283,688,728,676
33,1653,30.08,0.0872074468085107,28,29.852941176470587,30.03030303030303,30.363636363636363,264,294,292,710,751,697
34,1561,31.0,0.08698709677419358,28,30.764705882352942,30.939393939393938,31.303030303030305,272,303,301,732,774,718
35,1472,31.92,0.08677944862155386,28,31.676470588235293,31.848484848484848,32.24242424242424,280,312,310,754,797,739
36,1383,32.84,0.08658343483556635,28,32.588235294117645,32.75757575757576,33.18181818181818,288,321,319,776,820,760
37,1294,33.76,0.08640402843601891,28,33.5,33.666666666666664,34.121212121212125,296,330,328,798,843,781
38,1205,34.68,0.0862341407151095,28,34.411764705882355,34.57575757575758,35.06060606060606,304,339,337,820,866,802
39,1127,35.55,0.08706329113924056,28,35.26470588235294,35.45454545454545,35.93939393939394,312,348,345,841,887,822
40,1044,36.41,0.08802801428179066,28,36.11764705882353,36.333333333333336,36.78787878787879,320,357,353,861,908,842
41,971,37.23,0.08966693526725762,28,36.94117647058823,37.18181818181818,37.57575757575758,328,366,361,879,928,861
42,910,38.02,0.0916201998947922,28,37.73529411764706,38.0,38.333333333333336,336,374,369,896,947,880
43,847,38.83,0.09337368014421842,28,38.529411764705884,38.878787878787875,39.09090909090909,344,383,377,913,966,900
44,779,39.63,0.09500630835225835,28,39.294117647058826,39.72727272727273,39.878787878787875,350,391,385,931,986,920
45,715,40.39,0.0970017331022531,28,40.05882352941177,40.515151515151516,40.60606060606061,358,397,393,947,1004,940
46,644,41.13,0.09910770726963293,28,40.73529411764706,41.42424242424242,41.24242424242424,364,406,401,960,1021,961
47,587,41.82,0.10211382113821145,28,41.44117647058823,42.21212121212121,41.81818181818182,371,413,408,972,1038,980
48,527,42.51,0.10446247941660786,28,42.1764705882353,42.90909090909091,42.45454545454545,378,420,415,986,1056,996
49,466,43.18,0.10701250578971752,28,42.85294117647059,43.60606060606061,43.09090909090909,384,428,420,1002,1073,1011
50,412,43.75,0.10996342857142864,28,43.470588235294116,44.18181818181818,43.60606060606061,390,434,424,1015,1088,1024
51,363,44.3,0.11318284424379228,28,44.11764705882353,44.75757575757576,44.03030303030303,396,439,427,1026,1104,1038
52,329,44.73,0.11646545942320585,28,44.588235294117645,45.24242424242424,44.36363636363637,400,444,429,1035,1116,1049
53,304,45.13,0.11947485043208501,28,45.029411764705884,45.666666666666664,44.696969696969695,404,448,431,1044,1127,1059
54,274,45.61,0.12210699408024553,28,45.529411764705884,46.18181818181818,45.121212121212125,409,455,434,1055,1139,1069
55,246,46.04,0.12440486533449174,28,45.970588235294116,46.666666666666664,45.484848484848484,414,462,438,1063,1149,1078
56,226,46.36,0.12647540983606562,28,46.294117647058826,46.93939393939394,45.84848484848485,418,467,443,1070,1156,1082
57,208,46.66,0.12835833690527224,28,46.529411764705884,47.27272727272727,46.18181818181818,421,472,448,1076,1161,1088
58,191,46.95,0.13040468583599577,28,46.794117647058826,47.60606060606061,46.45454545454545,424,477,454,1079,1167,1094
59,167,47.28,0.13187394247038925,28,47.088235294117645,48.0,46.75757575757576,427,484,459,1084,1174,1100
60,150,47.57,0.13390161866722722,28,47.470588235294116,48.24242424242424,47.0,431,488,463,1088,1183,1104
61,129,47.87,0.13561520785460615,28,47.8235294117647,48.484848484848484,47.303030303030305,435,493,467,1094,1191,1107
62,116,48.09,0.13678311499272197,28,48.11764705882353,48.666666666666664,47.484848484848484,438,497,470,1097,1198,1109
63,105,48.26,0.13817654372150856,28,48.3235294117647,48.81818181818182,47.63636363636363,439,500,473,1099,1204,1111
64,104,48.42,0.13924411400247835,28,48.44117647058823,49.0,47.81818181818182,440,503,476,1102,1207,1114
65,110,48.6,0.14062139917695476,28,48.61764705882353,49.21212121212121,47.96969696969697,442,506,479,1104,1211,1118
66,112,48.82,0.14219172470299057,28,48.85294117647059,49.45454545454545,48.15151515151515,444,509,483,1106,1217,1123
67,113,48.99,0.1438232292304552,28,49.05882352941177,49.63636363636363,48.27272727272727,446,512,486,1107,1222,1126
68,112,49.15,0.1451210579857579,28,49.1764705882353,49.878787878787875,48.39393939393939,447,516,489,1108,1225,1130
69,108,49.31,0.14679172581626446,28,49.3235294117647,50.06060606060606,48.54545454545455,449,520,492,1110,1228,1132
70,108,49.46,0.14822078447230083,28,49.411764705882355,50.24242424242424,48.72727272727273,451,523,496,1112,1229,1135
71,107,49.59,0.14964105666465016,28,49.5,50.42424242424242,48.84848484848485,453,526,499,1113,1230,1138
72,95,49.77,0.15080771549125985,28,49.6764705882353,50.666666666666664,48.96969696969697,456,530,502,1114,1233,1142
73,96,49.91,0.15183129633340017,28,49.73529411764706,50.878787878787875,49.121212121212125,458,533,506,1115,1233,1146
74,103,50.08,0.15277955271565488,28,49.85294117647059,51.09090909090909,49.303030303030305,461,536,511,1116,1234,1150
75,109,50.26,0.15379228014325505,28,49.94117647058823,51.36363636363637,49.484848484848484,464,540,516,1117,1234,1155
76,107,50.43,0.1548978782470752,28,50.029411764705884,51.60606060606061,49.666666666666664,467,544,521,1118,1234,1159
77,115,50.59,0.15623443368254597,28,50.11764705882353,51.84848484848485,49.81818181818182,470,548,526,1118,1234,1163
78,120,50.75,0.1577044334975369,28,50.23529411764706,52.09090909090909,49.93939393939394,473,552,530,1118,1235,1167
79,112,50.92,0.15934799685781612,28,50.3235294117647,52.333333333333336,50.121212121212125,475,556,535,1119,1236,1171
80,113,51.09,0.16110980622431,28,50.411764705882355,52.57575757575758,50.303030303030305,477,560,540,1120,1237,1175
81,115,51.25,0.16264780487804884,28,50.5,52.78787878787879,50.484848484848484,479,564,545,1121,1238,1178
82,109,51.4,0.16433463035019458,28,50.588235294117645,53.0,50.63636363636363,481,568,550,1121,1239,1181
83,111,51.56,0.1658339798293251,28,50.6764705882353,53.24242424242424,50.78787878787879,483,572,555,1121,1240,1185
