,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4541,0.81,0.19,28,0.8529411764705882,0.8181818181818182,0.7575757575757576,8,6,7,18,21,21
2,4459,1.63,0.1849693251533742,28,1.7058823529411764,1.6363636363636365,1.5454545454545454,16,12,14,37,42,42
3,4375,2.47,0.17647773279352222,28,2.5588235294117645,2.484848484848485,2.3636363636363638,24,18,22,56,63,64
4,4291,3.31,0.17229607250755294,28,3.411764705882353,3.3333333333333335,3.1818181818181817,32,24,30,75,84,86
5,4207,4.15,0.16980722891566258,28,4.264705882352941,4.181818181818182,4.0,40,30,38,94,105,108
6,4124,4.98,0.16975903614457835,28,5.117647058823529,5.03030303030303,4.787878787878788,48,36,46,112,126,130
7,4041,5.81,0.1697934595524957,28,5.970588235294118,5.878787878787879,5.575757575757576,56,42,54,130,147,152
8,3957,6.65,0.16855639097744357,28,6.823529411764706,6.7272727272727275,6.393939393939394,64,48,62,149,168,174
9,3873,7.49,0.16759679572763686,28,7.676470588235294,7.575757575757576,7.212121212121212,72,54,70,168,189,196
10,3789,8.33,0.16683073229291723,28,8.529411764705882,8.424242424242424,8.030303030303031,80,60,78,187,210,218
11,3704,9.18,0.16527233115468407,28,9.411764705882353,9.272727272727273,8.848484848484848,88,66,86,206,232,240
12,3619,10.03,0.16397806580259228,28,10.294117647058824,10.121212121212121,9.666666666666666,96,72,94,225,254,262
13,3533,10.89,0.1620844811753902,28,11.176470588235293,10.969696969696969,10.515151515151516,104,78,102,245,276,284
14,3450,11.75,0.160468085106383,28,12.058823529411764,11.818181818181818,11.363636363636363,112,84,110,265,298,306
15,3367,12.61,0.15907216494845358,28,12.941176470588236,12.666666666666666,12.212121212121213,120,90,118,285,320,328
16,3281,13.47,0.15785449146250927,28,13.823529411764707,13.515151515151516,13.06060606060606,128,96,126,305,342,350
17,3196,14.32,0.1573184357541899,28,14.676470588235293,14.363636363636363,13.909090909090908,136,102,134,325,363,372
18,3111,15.17,0.1568424522083059,28,15.529411764705882,15.212121212121213,14.757575757575758,144,108,142,345,384,394
19,3028,16.0,0.15739999999999996,28,16.352941176470587,16.060606060606062,15.575757575757576,152,114,149,365,404,416
20,2943,16.85,0.15700296735905042,28,17.235294117647058,16.90909090909091,16.393939393939394,160,120,156,385,426,438
21,2859,17.69,0.1570661390616168,28,18.08823529411765,17.757575757575758,17.21212121212121,168,126,163,405,447,460
22,2775,18.53,0.1571343766864544,28,18.941176470588236,18.606060606060606,18.03030303030303,176,132,170,425,468,482
23,2690,19.38,0.15680082559339525,28,19.823529411764707,19.454545454545453,18.848484848484848,184,138,177,445,490,504
24,2605,20.23,0.15645575877409784,28,20.676470588235293,20.333333333333332,19.666666666666668,192,145,184,465,511,526
25,2522,21.06,0.1569705603038936,28,21.529411764705884,21.181818181818183,20.454545454545453,200,151,191,484,532,548
26,2438,21.9,0.15704109589041096,28,22.38235294117647,22.060606060606062,21.242424242424242,208,158,198,503,553,570
27,2356,22.72,0.1578345070422536,28,23.176470588235293,22.90909090909091,22.060606060606062,216,164,205,523,572,592
28,2272,23.56,0.15788624787775887,28,24.029411764705884,23.757575757575758,22.87878787878788,224,170,212,543,593,614
29,2188,24.4,0.15789344262295088,28,24.852941176470587,24.636363636363637,23.696969696969695,232,177,219,563,613,636
30,2103,25.25,0.15758811881188123,28,25.705882352941178,25.515151515151516,24.515151515151516,240,184,226,583,634,658
31,2018,26.1,0.15731034482758616,28,26.558823529411764,26.393939393939394,25.333333333333332,248,191,233,603,655,680
32,1933,26.95,0.15705751391465683,28,27.41176470588235,27.272727272727273,26.151515151515152,256,198,240,623,676,702
33,1850,27.78,0.15733621310295176,28,28.264705882352942,28.151515151515152,26.90909090909091,264,205,247,641,697,724
34,1765,28.63,0.15709745022703459,28,29.11764705882353,29.03030303030303,27.727272727272727,272,212,254,661,718,746
35,1680,29.48,0.15687924016282223,28,29.970588235294116,29.90909090909091,28.545454545454547,280,219,261,681,739,768
36,1596,30.32,0.15689973614775723,28,30.823529411764707,30.78787878787879,29.333333333333332,288,226,267,701,760,790
37,1512,31.16,0.15695121951219504,28,31.647058823529413,31.666666666666668,30.151515151515152,296,233,274,721,780,812
38,1428,32.0,0.15696875000000005,28,32.470588235294116,32.54545454545455,30.96969696969697,305,240,281,741,799,834
39,1345,32.83,0.15713981114834,28,33.3235294117647,33.39393939393939,31.757575757575758,314,247,288,760,819,855
40,1262,33.66,0.15736779560308975,28,34.14705882352941,34.27272727272727,32.54545454545455,323,254,295,779,838,877
41,1179,34.49,0.1575268193679328,28,34.970588235294116,35.15151515151515,33.333333333333336,331,261,302,798,858,899
42,1101,35.27,0.15865324638502984,28,35.705882352941174,35.96969696969697,34.121212121212125,339,267,309,817,875,920
43,1024,36.04,0.1599500554938956,28,36.44117647058823,36.75757575757576,34.90909090909091,346,273,316,836,893,940
44,950,36.78,0.16172920065252852,28,37.14705882352941,37.515151515151516,35.666666666666664,353,279,323,854,910,959
45,880,37.48,0.1638313767342582,28,37.73529411764706,38.27272727272727,36.42424242424242,358,284,331,871,925,979
46,809,38.19,0.165464781356376,28,38.35294117647059,39.0,37.21212121212121,364,289,338,890,940,998
47,744,38.84,0.16765705458290425,28,38.911764705882355,39.696969696969695,37.90909090909091,368,294,345,906,955,1016
48,677,39.51,0.16957479119210334,28,39.470588235294116,40.39393939393939,38.666666666666664,372,300,352,924,970,1033
49,612,40.16,0.17177788844621517,28,40.029411764705884,41.03030303030303,39.42424242424242,376,304,359,942,985,1050
50,554,40.74,0.1744968090328915,28,40.55882352941177,41.60606060606061,40.06060606060606,379,307,366,956,1000,1066
51,499,41.29,0.17727052555098083,28,41.088235294117645,42.18181818181818,40.60606060606061,382,311,373,967,1015,1081
52,444,41.84,0.1800239005736138,28,41.588235294117645,42.75757575757576,41.18181818181818,385,316,380,979,1029,1095
53,390,42.38,0.1821094856064181,28,42.088235294117645,43.27272727272727,41.78787878787879,388,320,386,993,1043,1108
54,344,42.84,0.1846591970121382,28,42.411764705882355,43.78787878787879,42.333333333333336,390,324,392,1005,1052,1121
55,305,43.23,0.1869095535507749,28,42.73529411764706,44.303030303030305,42.666666666666664,392,328,396,1012,1061,1134
56,269,43.59,0.1892200045882083,28,42.970588235294116,44.696969696969695,43.121212121212125,393,331,401,1022,1068,1144
57,232,43.96,0.1914604185623294,28,43.26470588235294,45.09090909090909,43.54545454545455,394,333,406,1031,1077,1155
58,204,44.24,0.19286618444846299,28,43.44117647058823,45.42424242424242,43.878787878787875,394,336,410,1038,1083,1163
59,174,44.54,0.19411315671306695,28,43.64705882352941,45.72727272727273,44.27272727272727,395,340,415,1046,1089,1169
60,149,44.79,0.1951306095110516,28,43.794117647058826,45.93939393939394,44.666666666666664,395,341,419,1055,1094,1175
61,129,44.99,0.19636141364747714,28,43.94117647058823,46.121212121212125,44.93939393939394,395,342,422,1061,1099,1180
62,114,45.14,0.19731501993797082,28,44.05882352941177,46.27272727272727,45.121212121212125,395,343,424,1065,1103,1184
63,101,45.27,0.19838524409100955,28,44.11764705882353,46.42424242424242,45.303030303030305,395,345,427,1068,1105,1187
64,92,45.36,0.19937389770723102,28,44.11764705882353,46.57575757575758,45.42424242424242,395,347,430,1069,1105,1190
65,83,45.45,0.20020462046204612,28,44.1764705882353,46.666666666666664,45.54545454545455,396,348,433,1070,1106,1192
66,79,45.49,0.20024840624313028,28,44.1764705882353,46.72727272727273,45.60606060606061,396,348,435,1070,1106,1194
67,74,45.54,0.20020202020202021,28,44.205882352941174,46.78787878787879,45.666666666666664,396,348,437,1070,1107,1196
68,70,45.58,0.20021500658183414,28,44.23529411764706,46.81818181818182,45.72727272727273,396,348,439,1070,1108,1197
69,64,45.64,0.20029798422436457,28,44.23529411764706,46.878787878787875,45.84848484848485,396,348,441,1072,1108,1199
70,59,45.69,0.2003042241190633,28,44.23529411764706,46.93939393939394,45.93939393939394,396,348,443,1073,1108,1201
71,54,45.74,0.20049409707039786,28,44.26470588235294,47.0,46.0,396,348,445,1073,1109,1203
72,50,45.78,0.20048492791612063,28,44.26470588235294,47.06060606060606,46.06060606060606,396,349,446,1074,1109,1204
73,47,45.81,0.20030779305828417,28,44.294117647058826,47.09090909090909,46.09090909090909,397,349,447,1074,1109,1205
74,44,45.84,0.20016143106457235,28,44.3235294117647,47.121212121212125,46.121212121212125,397,349,448,1074,1110,1206
75,41,45.87,0.20011990407673863,28,44.3235294117647,47.15151515151515,46.18181818181818,397,349,449,1075,1110,1207
76,36,45.92,0.2002134146341463,28,44.3235294117647,47.18181818181818,46.303030303030305,397,349,451,1077,1110,1208
77,34,45.94,0.20043970396168917,28,44.3235294117647,47.21212121212121,46.333333333333336,397,349,451,1078,1110,1209
78,32,45.96,0.20068755439512614,28,44.3235294117647,47.24242424242424,46.36363636363637,397,349,451,1079,1110,1210
79,28,46.0,0.2011739130434782,28,44.35294117647059,47.303030303030305,46.39393939393939,397,349,451,1080,1111,1212
80,28,46.0,0.2011739130434782,28,44.35294117647059,47.303030303030305,46.39393939393939,397,349,451,1080,1111,1212
81,27,46.01,0.20115409693544875,28,44.38235294117647,47.303030303030305,46.39393939393939,397,349,451,1080,1112,1212
82,25,46.03,0.20092331088420592,28,44.44117647058823,47.303030303030305,46.39393939393939,397,349,451,1080,1114,1212
83,24,46.04,0.20070373588184182,28,44.470588235294116,47.303030303030305,46.39393939393939,397,349,451,1080,1115,1212
84,23,46.05,0.20080564603691642,28,44.470588235294116,47.303030303030305,46.42424242424242,397,349,451,1081,1115,1212
85,22,46.06,0.20096830221450276,28,44.470588235294116,47.303030303030305,46.45454545454545,397,349,451,1082,1115,1212
86,20,46.08,0.2009114583333333,28,44.5,47.303030303030305,46.484848484848484,397,349,451,1083,1116,1212
87,22,46.09,0.20069646344109343,28,44.529411764705884,47.303030303030305,46.484848484848484,397,349,451,1083,1117,1212
88,20,46.11,0.20063977445239645,28,44.55882352941177,47.303030303030305,46.515151515151516,397,349,452,1083,1118,1212
89,18,46.13,0.20058313461955352,28,44.588235294117645,47.303030303030305,46.54545454545455,397,349,453,1083,1119,1212
90,16,46.15,0.2005265438786566,28,44.61764705882353,47.303030303030305,46.57575757575758,397,349,454,1083,1120,1212
91,16,46.15,0.2005265438786566,28,44.61764705882353,47.303030303030305,46.57575757575758,397,349,454,1083,1120,1212
92,16,46.15,0.2005265438786566,28,44.61764705882353,47.303030303030305,46.57575757575758,397,349,454,1083,1120,1212
93,15,46.16,0.20069757365684582,28,44.61764705882353,47.333333333333336,46.57575757575758,397,349,454,1083,1120,1213
94,14,46.17,0.20086852934806146,28,44.61764705882353,47.36363636363637,46.57575757575758,397,349,454,1083,1120,1214
95,13,46.18,0.20103941100043315,28,44.61764705882353,47.39393939393939,46.57575757575758,397,349,454,1083,1120,1215
96,11,46.2,0.2006536796536797,28,44.61764705882353,47.42424242424242,46.60606060606061,397,350,454,1084,1120,1215
97,8,46.23,0.20004975124378105,28,44.64705882352941,47.45454545454545,46.63636363636363,398,351,455,1084,1120,1215
98,7,46.24,0.19988321799307954,28,44.6764705882353,47.45454545454545,46.63636363636363,399,351,455,1084,1120,1215
99,9,46.25,0.1997167567567567,28,44.705882352941174,47.45454545454545,46.63636363636363,400,351,455,1084,1120,1215
100,6,46.28,0.19972774416594646,28,44.76470588235294,47.45454545454545,46.666666666666664,401,351,456,1084,1121,1215
101,4,46.3,0.19974082073434118,28,44.794117647058826,47.45454545454545,46.696969696969695,402,351,457,1084,1121,1215
102,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
103,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
104,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
105,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
106,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
107,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
108,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
109,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
110,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
111,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
112,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
113,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
114,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
115,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
116,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
117,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
118,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
119,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
120,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
121,3,46.31,0.19989851004102788,28,44.794117647058826,47.45454545454545,46.72727272727273,402,351,458,1084,1121,1215
122,2,46.32,0.19968480138169256,28,44.8235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1122,1215
123,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
124,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
125,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
126,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
127,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
128,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
129,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
130,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
131,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
132,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
133,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
134,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
135,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
136,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
137,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
138,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
139,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
140,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
141,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
142,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
143,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
144,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
145,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
146,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
147,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
148,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
149,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
150,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
151,1,46.33,0.19947550183466434,28,44.85294117647059,47.45454545454545,46.72727272727273,402,351,458,1084,1123,1215
152,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
153,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
154,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
155,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
156,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
157,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
158,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
159,0,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
160,6,46.34,0.1993741907639189,28,44.88235294117647,47.45454545454545,46.72727272727273,402,351,458,1084,1124,1215
161,10,46.36,0.19957722174288178,28,44.88235294117647,47.484848484848484,46.75757575757576,402,352,459,1084,1124,1215
162,12,46.4,0.19965948275862075,28,44.911764705882355,47.54545454545455,46.78787878787879,403,354,460,1084,1124,1215
163,13,46.45,0.1998729817007535,28,44.94117647058823,47.63636363636363,46.81818181818182,404,357,461,1084,1124,1215
164,13,46.51,0.20020855729950554,28,44.970588235294116,47.72727272727273,46.878787878787875,405,360,463,1084,1124,1215
165,13,46.57,0.20064633884474986,28,45.0,47.81818181818182,46.93939393939394,406,363,465,1084,1124,1215
166,13,46.63,0.20114733004503535,28,45.029411764705884,47.90909090909091,47.0,407,366,467,1084,1124,1215
167,13,46.69,0.2017027200685372,28,45.05882352941177,48.0,47.06060606060606,408,369,469,1084,1124,1215
168,13,46.75,0.20231229946524068,28,45.088235294117645,48.09090909090909,47.121212121212125,409,372,471,1084,1124,1215
169,13,46.81,0.20301004058961766,28,45.11764705882353,48.18181818181818,47.18181818181818,410,375,473,1084,1124,1215
170,13,46.87,0.2037145295498186,28,45.14705882352941,48.27272727272727,47.24242424242424,411,378,475,1084,1124,1215
171,13,46.93,0.20443852546345626,28,45.1764705882353,48.36363636363637,47.303030303030305,412,381,477,1084,1124,1215
172,13,46.99,0.2051947222813365,28,45.205882352941174,48.45454545454545,47.36363636363637,413,384,479,1084,1124,1215
173,13,47.05,0.20597874601487776,28,45.23529411764706,48.54545454545455,47.42424242424242,414,387,481,1084,1124,1215
174,13,47.11,0.2067819995754617,28,45.26470588235294,48.63636363636363,47.484848484848484,415,390,483,1084,1124,1215
