,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar
0,4622,0.0,0.0,30,0.0,0.0,0.0
1,4591,0.89,0.11,30,0.9090909090909091,0.9090909090909091,0.8529411764705882
2,4559,1.8,0.09988888888888894,30,1.8181818181818181,1.8181818181818181,1.7647058823529411
3,4530,2.71,0.09634686346863475,30,2.696969696969697,2.757575757575758,2.676470588235294
4,4486,3.62,0.0941988950276243,30,3.5757575757575757,3.696969696969697,3.588235294117647
5,4440,4.53,0.09309050772626933,30,4.454545454545454,4.636363636363637,4.5
6,4401,5.43,0.0939779005524862,30,5.303030303030303,5.575757575757576,5.411764705882353
7,4359,6.34,0.09302839116719241,30,6.151515151515151,6.515151515151516,6.352941176470588
8,4329,7.24,0.09259668508287291,30,7.03030303030303,7.393939393939394,7.294117647058823
9,4283,8.14,0.09240786240786235,30,7.818181818181818,8.303030303030303,8.294117647058824
10,4234,9.06,0.09048565121412806,30,8.696969696969697,9.212121212121213,9.264705882352942
11,4181,9.99,0.08787787787787792,30,9.575757575757576,10.151515151515152,10.235294117647058
12,4133,10.91,0.08675527039413382,30,10.454545454545455,11.06060606060606,11.205882352941176
13,4090,11.82,0.08671742808798641,30,11.303030303030303,11.969696969696969,12.176470588235293
14,4049,12.72,0.08687106918238996,30,12.06060606060606,12.93939393939394,13.147058823529411
15,4009,13.59,0.08899926416482713,30,12.818181818181818,13.848484848484848,14.088235294117647
16,3967,14.46,0.09098201936376213,30,13.606060606060606,14.696969696969697,15.058823529411764
17,3931,15.34,0.09148631029986959,30,14.484848484848484,15.545454545454545,15.970588235294118
18,3893,16.21,0.09331893892658855,30,15.272727272727273,16.424242424242426,16.91176470588235
19,3850,17.1,0.09327485380116954,30,16.151515151515152,17.272727272727273,17.852941176470587
20,3811,18.0,0.09281111111111116,30,16.96969696969697,18.21212121212121,18.794117647058822
21,3770,18.88,0.09388771186440678,30,17.727272727272727,19.151515151515152,19.735294117647058
22,3726,19.76,0.09445344129554656,30,18.515151515151516,20.060606060606062,20.676470588235293
23,3679,20.66,0.09424007744433695,30,19.333333333333332,21.0,21.61764705882353
24,3635,21.54,0.09457753017641593,30,20.09090909090909,21.939393939393938,22.558823529411764
25,3593,22.43,0.09470798038341513,30,20.87878787878788,22.848484848484848,23.529411764705884
26,3550,23.34,0.09399314481576695,30,21.696969696969695,23.78787878787879,24.5
27,3507,24.24,0.0929620462046205,30,22.545454545454547,24.696969696969695,25.441176470588236
28,3468,25.14,0.09281622911694512,30,23.333333333333332,25.606060606060606,26.441176470588236
29,3416,26.09,0.09109620544269831,30,24.181818181818183,26.606060606060606,27.441176470588236
30,3383,27.0,0.09070370370370369,30,25.03030303030303,27.515151515151516,28.41176470588235
31,3336,27.9,0.09078853046594987,30,25.818181818181817,28.424242424242426,29.41176470588235
32,3303,28.8,0.09056250000000006,30,26.696969696969695,29.303030303030305,30.352941176470587
33,3263,29.73,0.08983181971072994,30,27.575757575757574,30.21212121212121,31.352941176470587
34,3228,30.65,0.08919086460032631,30,28.393939393939394,31.151515151515152,32.35294117647059
35,3176,31.57,0.08843522331327208,30,29.181818181818183,32.121212121212125,33.35294117647059
36,3138,32.48,0.08770935960591132,30,29.96969696969697,33.06060606060606,34.35294117647059
37,3101,33.4,0.08714371257485026,30,30.757575757575758,34.03030303030303,35.35294117647059
38,3055,34.29,0.08728200641586469,30,31.484848484848484,34.96969696969697,36.35294117647059
39,3023,35.19,0.08720943449843702,30,32.303030303030305,35.90909090909091,37.294117647058826
40,2987,36.09,0.08699639789415357,30,33.06060606060606,36.84848484848485,38.294117647058826
41,2949,36.96,0.08702380952380949,30,33.84848484848485,37.72727272727273,39.23529411764706
42,2900,37.88,0.08637803590285116,30,34.75757575757576,38.63636363636363,40.1764705882353
43,2856,38.78,0.08625064466219698,30,35.57575757575758,39.54545454545455,41.14705882352941
44,2816,39.68,0.08589717741935488,30,36.45454545454545,40.42424242424242,42.088235294117645
45,2783,40.54,0.08629995066600885,30,37.24242424242424,41.27272727272727,43.029411764705884
46,2752,41.39,0.08683981638076829,30,37.93939393939394,42.21212121212121,43.94117647058823
47,2708,42.29,0.08687869472688575,30,38.75757575757576,43.15151515151515,44.88235294117647
48,2668,43.16,0.08719647822057468,30,39.54545454545455,44.0,45.85294117647059
49,2624,44.08,0.08694192377495469,30,40.39393939393939,44.90909090909091,46.85294117647059
50,2591,44.95,0.08745050055617355,30,41.15151515151515,45.78787878787879,47.8235294117647
51,2557,45.8,0.08803493449781655,30,41.878787878787875,46.696969696969695,48.73529411764706
52,2522,46.65,0.08844372990353705,30,42.54545454545455,47.63636363636363,49.6764705882353
53,2487,47.5,0.08831157894736848,30,43.27272727272727,48.515151515151516,50.61764705882353
54,2455,48.36,0.08837055417700583,30,44.06060606060606,49.333333333333336,51.588235294117645
55,2425,49.21,0.08859784596626696,30,44.78787878787879,50.21212121212121,52.529411764705884
56,2390,50.02,0.08924030387844865,30,45.42424242424242,51.06060606060606,53.470588235294116
57,2345,50.92,0.08896700706991353,30,46.303030303030305,51.93939393939394,54.411764705882355
58,2308,51.83,0.08837931699787774,30,47.18181818181818,52.81818181818182,55.38235294117647
59,2270,52.72,0.08823216995447652,30,48.06060606060606,53.666666666666664,56.3235294117647
60,2227,53.61,0.08760865510166013,30,48.90909090909091,54.54545454545455,57.26470588235294
61,2209,54.45,0.08782185491276394,30,49.63636363636363,55.36363636363637,58.23529411764706
62,2183,55.23,0.08897881586094514,30,50.303030303030305,56.121212121212125,59.14705882352941
63,2147,56.09,0.08932608308076312,30,51.09090909090909,57.0,60.05882352941177
64,2114,56.93,0.08982434568768667,30,51.78787878787879,57.878787878787875,61.0
65,2086,57.72,0.09051282051282059,30,52.42424242424242,58.72727272727273,61.88235294117647
66,2051,58.57,0.09069318763872289,30,53.09090909090909,59.63636363636363,62.85294117647059
67,2021,59.42,0.0911746886570178,30,53.81818181818182,60.515151515151516,63.794117647058826
68,1985,60.26,0.09136408894789241,30,54.57575757575758,61.333333333333336,64.73529411764706
69,1947,61.09,0.09172532329350133,30,55.333333333333336,62.121212121212125,65.67647058823529
70,1921,61.92,0.09193798449612402,30,56.09090909090909,62.90909090909091,66.61764705882354
71,1884,62.79,0.0922169135212613,30,56.81818181818182,63.81818181818182,67.58823529411765
72,1853,63.6,0.09276729559748433,30,57.54545454545455,64.60606060606061,68.5
73,1825,64.4,0.0933229813664596,30,58.24242424242424,65.3030303030303,69.5
74,1788,65.23,0.09347079564617503,30,58.93939393939394,66.12121212121212,70.47058823529412
75,1761,66.04,0.09367958812840697,30,59.57575757575758,66.93939393939394,71.44117647058823
76,1735,66.81,0.09425385421344103,30,60.21212121212121,67.6969696969697,72.3529411764706
77,1716,67.55,0.09441746854182086,30,60.84848484848485,68.39393939393939,73.23529411764706
78,1681,68.37,0.09463068597338008,30,61.515151515151516,69.21212121212122,74.20588235294117
79,1653,69.18,0.0950795027464585,30,62.15151515151515,70.03030303030303,75.17647058823529
80,1626,69.95,0.09584417441029303,30,62.75757575757576,70.78787878787878,76.11764705882354
81,1600,70.74,0.09642069550466502,30,63.333333333333336,71.60606060606061,77.08823529411765
82,1581,71.51,0.09708712068242206,30,63.96969696969697,72.33333333333333,78.02941176470588
83,1567,72.26,0.09777747024633271,30,64.63636363636364,73.0,78.94117647058823
84,1544,73.03,0.09860194440640839,30,65.21212121212122,73.75757575757575,79.91176470588235
85,1522,73.77,0.09953504134472013,30,65.81818181818181,74.45454545454545,80.82352941176471
86,1503,74.49,0.10017049268358164,30,66.39393939393939,75.18181818181819,81.67647058823529
87,1475,75.27,0.10055134847880964,30,67.06060606060606,75.9090909090909,82.61764705882354
88,1450,76.02,0.10093133385951063,30,67.6969696969697,76.60606060606061,83.52941176470588
89,1430,76.76,0.1015997915581032,30,68.24242424242425,77.39393939393939,84.41176470588235
90,1409,77.52,0.10208462332301338,30,68.87878787878788,78.12121212121212,85.32352941176471
91,1382,78.24,0.10283486707566468,30,69.42424242424242,78.84848484848484,86.20588235294117
92,1355,79.0,0.10333417721518984,30,70.03030303030303,79.57575757575758,87.1470588235294
93,1332,79.74,0.1040155505392525,30,70.63636363636364,80.27272727272727,88.05882352941177
94,1305,80.52,0.10434177844013917,30,71.33333333333333,81.0,88.97058823529412
95,1285,81.24,0.10516001969473165,30,71.9090909090909,81.66666666666667,89.88235294117646
96,1262,81.99,0.10563361385534818,30,72.57575757575758,82.3030303030303,90.82352941176471
97,1241,82.73,0.10590233289012446,30,73.3030303030303,82.87878787878788,91.73529411764706
98,1230,83.38,0.10682897577356684,30,73.84848484848484,83.42424242424242,92.58823529411765
99,1212,84.06,0.10737092552938378,30,74.42424242424242,84.0,93.47058823529412
100,1193,84.72,0.10832625118035878,30,74.81818181818181,84.6969696969697,94.3529411764706
101,1174,85.44,0.10856975655430716,30,75.39393939393939,85.39393939393939,95.23529411764706
102,1173,86.06,0.10921450151057399,30,75.81818181818181,86.0,96.05882352941177
103,1157,86.74,0.10956652063638458,30,76.45454545454545,86.51515151515152,96.94117647058823
104,1150,87.39,0.11022657054582907,30,77.03030303030303,87.03030303030303,97.79411764705883
105,1133,88.07,0.11062904507777901,30,77.60606060606061,87.60606060606061,98.67647058823529
106,1123,88.73,0.11118561929448888,30,78.15151515151516,88.15151515151516,99.55882352941177
107,1101,89.43,0.11146706921614666,30,78.72727272727273,88.78787878787878,100.44117647058823
108,1092,90.08,0.11209591474245116,30,79.21212121212122,89.36363636363636,101.32352941176471
109,1081,90.75,0.11267988980716254,30,79.6969696969697,89.96969696969697,102.23529411764706
110,1068,91.38,0.11340118187787268,30,80.0909090909091,90.54545454545455,103.1470588235294
111,1068,91.96,0.1142670726402784,30,80.42424242424242,91.06060606060606,104.02941176470588
112,1055,92.6,0.11476457883369334,30,80.84848484848484,91.60606060606061,104.97058823529412
113,1034,93.24,0.1151287001287001,30,81.39393939393939,92.0909090909091,105.8529411764706
114,1022,93.88,0.11580528334043465,30,81.84848484848484,92.60606060606061,106.79411764705883
