,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar
0,4622,0.0,0.0,30,0.0,0.0,0.0
1,4579,0.86,0.14,30,0.8787878787878788,0.8181818181818182,0.8823529411764706
2,4538,1.75,0.12359999999999999,30,1.7575757575757576,1.6363636363636365,1.8529411764705883
3,4503,2.63,0.1207224334600761,30,2.6363636363636362,2.393939393939394,2.8529411764705883
4,4448,3.56,0.10606741573033701,30,3.515151515151515,3.303030303030303,3.8529411764705883
5,4410,4.44,0.10815315315315317,30,4.363636363636363,4.090909090909091,4.852941176470588
6,4377,5.28,0.11541666666666671,30,5.181818181818182,4.818181818181818,5.823529411764706
7,4337,6.16,0.1154220779220779,30,6.03030303030303,5.636363636363637,6.794117647058823
8,4302,7.06,0.11283286118980172,30,6.878787878787879,6.515151515151516,7.764705882352941
9,4254,7.94,0.11299748110831231,30,7.7272727272727275,7.333333333333333,8.735294117647058
10,4215,8.84,0.11140271493212665,30,8.575757575757576,8.212121212121213,9.705882352941176
11,4169,9.73,0.11053442959917774,30,9.424242424242424,9.06060606060606,10.676470588235293
12,4127,10.62,0.10990583804143128,30,10.303030303030303,9.878787878787879,11.647058823529411
13,4080,11.49,0.11125326370757178,30,11.121212121212121,10.696969696969697,12.617647058823529
14,4046,12.38,0.11077544426494342,30,12.030303030303031,11.484848484848484,13.588235294117647
15,4005,13.31,0.10768595041322314,30,12.93939393939394,12.363636363636363,14.588235294117647
16,3966,14.22,0.10634317862165958,30,13.787878787878787,13.242424242424242,15.588235294117647
17,3927,15.09,0.10726971504307485,30,14.575757575757576,14.06060606060606,16.58823529411765
18,3884,15.97,0.10728240450845333,30,15.424242424242424,14.878787878787879,17.558823529411764
19,3839,16.87,0.10649081209247185,30,16.333333333333332,15.666666666666666,18.558823529411764
20,3797,17.77,0.10582442318514353,30,17.181818181818183,16.515151515151516,19.558823529411764
21,3749,18.69,0.10396468699839488,30,18.060606060606062,17.424242424242426,20.529411764705884
22,3708,19.59,0.10339458907605917,30,18.90909090909091,18.272727272727273,21.529411764705884
23,3669,20.48,0.102890625,30,19.757575757575758,19.09090909090909,22.529411764705884
24,3625,21.4,0.10150467289719628,30,20.666666666666668,19.939393939393938,23.529411764705884
25,3579,22.31,0.1005154639175258,30,21.575757575757574,20.78787878787879,24.5
26,3537,23.19,0.10100474342388964,30,22.393939393939394,21.606060606060606,25.5
27,3494,24.08,0.10107142857142862,30,23.272727272727273,22.424242424242426,26.470588235294116
28,3457,24.94,0.10200481154771453,30,24.09090909090909,23.21212121212121,27.441176470588236
29,3421,25.78,0.10355314197051982,30,24.90909090909091,23.939393939393938,28.41176470588235
30,3377,26.69,0.10270887973023606,30,25.757575757575758,24.818181818181817,29.41176470588235
31,3329,27.54,0.10341321713870727,30,26.545454545454547,25.606060606060606,30.38235294117647
32,3293,28.41,0.10364308342133058,30,27.363636363636363,26.393939393939394,31.38235294117647
33,3254,29.28,0.10382513661202182,30,28.181818181818183,27.181818181818183,32.38235294117647
34,3217,30.16,0.10414456233421746,30,28.96969696969697,28.03030303030303,33.38235294117647
35,3178,31.07,0.10357579658834894,30,29.87878787878788,28.848484848484848,34.38235294117647
36,3136,31.96,0.10343554443053819,30,30.727272727272727,29.666666666666668,35.38235294117647
37,3091,32.87,0.10278369333738965,30,31.545454545454547,30.575757575757574,36.38235294117647
38,3056,33.77,0.10231862599940783,30,32.45454545454545,31.363636363636363,37.38235294117647
39,3016,34.67,0.10207383905393712,30,33.333333333333336,32.21212121212121,38.35294117647059
40,2975,35.57,0.10194264829912854,30,34.24242424242424,33.0,39.35294117647059
41,2930,36.47,0.10158760625171367,30,35.06060606060606,33.878787878787875,40.35294117647059
42,2900,37.34,0.10161756829137658,30,35.878787878787875,34.696969696969695,41.3235294117647
43,2868,38.21,0.1012221931431563,30,36.75757575757576,35.45454545454545,42.294117647058826
44,2835,39.07,0.10148195546455085,30,37.515151515151516,36.303030303030305,43.26470588235294
45,2800,39.96,0.10147647647647645,30,38.39393939393939,37.121212121212125,44.23529411764706
46,2773,40.82,0.10193042626163645,30,39.18181818181818,37.93939393939394,45.205882352941174
47,2731,41.72,0.10150047938638536,30,40.03030303030303,38.78787878787879,46.205882352941174
48,2695,42.63,0.10091719446399253,30,40.84848484848485,39.696969696969695,47.205882352941174
49,2657,43.52,0.10044577205882348,30,41.63636363636363,40.60606060606061,48.1764705882353
50,2629,44.36,0.10111361587015325,30,42.42424242424242,41.36363636363637,49.14705882352941
51,2596,45.23,0.10098386026973244,30,43.36363636363637,42.06060606060606,50.11764705882353
52,2554,46.11,0.10103882021253525,30,44.21212121212121,42.90909090909091,51.05882352941177
53,2520,46.98,0.1010940825883354,30,45.09090909090909,43.696969696969695,52.0
54,2489,47.87,0.10092960100271568,30,46.0,44.45454545454545,53.0
55,2451,48.77,0.10039163420135325,30,46.878787878787875,45.303030303030305,53.970588235294116
56,2415,49.68,0.09972624798711749,30,47.696969696969695,46.24242424242424,54.94117647058823
57,2379,50.53,0.10011280427468833,30,48.42424242424242,47.09090909090909,55.911764705882355
58,2346,51.33,0.10059029807130329,30,49.03030303030303,47.878787878787875,56.911764705882355
59,2316,52.21,0.10057268722466958,30,49.75757575757576,48.78787878787879,57.911764705882355
60,2283,53.1,0.10045197740112996,30,50.484848484848484,49.72727272727273,58.911764705882355
61,2249,53.96,0.10042253521126768,30,51.24242424242424,50.57575757575758,59.88235294117647
